"","STATE_NAME","SITE_ID","YEAR","VISIT_NO.x","SITE_TYPE.x","LAKE_SAMP.x","SAMPLED.x","DATE_COL.x","SAMPLE_CATEGORY","DATECHEM","SAMPLED_CHEM.x","INDXSAMP_CHEM.x","PH_FIELD","PH_FIELD_DEPTH","SAMPLE_DEPTH","SAMPLE_ID_CHEM","LAB_ID_CHEM","PH_LAB","PHLAB_FLAG","COND","COND_FLAG","COND_RL_ALERT","ANC","ANC_FLAG","TURB","TURB_FLAG","TURB_RL_ALERT","TOC","TOC_FLAG","TOC_RL_ALERT","DOC","DOC_FLAG","DOC_RL_ALERT","NH4N_PPM","NH4","NH4_FLAG","NH4_RL_ALERT","NO3_NO2","NO3NO2_FLAG","NO3NO2_RL_ALERT","NTL_PPM","NTL","NTL_FLAG","NTL_RL_ALERT","PTL","PTL_FLAG","PTL_RL_ALERT","CL_PPM","CL","CL_FLAG","CL_RL_ALERT","NO3N_PPM","NO3","NO3_FLAG","NO3_RL_ALERT","SO4_PPM","SO4","SO4_FLAG","SO4_RL_ALERT","CA_PPM","CA","CA_FLAG","CA_RL_ALERT","MG_PPM","MG","MG_FLAG","MG_RL_ALERT","NA_PPM","NA.","NA_FLAG","NA_RL_ALERT","K_PPM","K","K_FLAG","K_RL_ALERT","COLOR","COLOR_FLAG","COLOR_RL_ALERT","SIO2","SIO2_FLAG","SIO2_RL_ALERT","H","OH","NH4ION","CATSUM","ANSUM2","ANDEF2","SOBC","BALANCE2","ORGION","CONCAL2","CONDHO2","DAY_SHIP","DAYSHIP_ALERT","DATE_RECEIVED","DATE_FILTERED","DATEFILT_ALERT","PHLAB_HT","PHLAB_HT_ALERT","COND_HT","COND_HT_ALERT","ANC_HT","ANC_HT_ALERT","TURB_HT","TURB_HT_ALERT","TOC_HT","TOC_HT_ALERT","DOC_HT","DOC_HT_ALERT","NH4_HT","NH4_HT_ALERT","NO3NO2_HT","NO3NO2_HT_ALERT","NTL_HT","NTL_HT_ALERT","PTL_HT","PTL_HT_ALERT","CL_HT","CL_HT_ALERT","NO3_HT","NO3_HT_ALERT","SO4_HT","SO4_HT_ALERT","CA_HT","CA_HT_ALERT","MG_HT","MG_HT_ALERT","NA_HT","NA_HT_ALERT","K_HT","K_HT_ALERT","COLOR_HT","COLOR_HT_ALERT","SIO2_HT","SIO2_HT_ALERT","COM_FIELD_PH","COMMENT_FLD_CHEM","COMMENT_LAB_CHEM","COMMENT_IM_CHEM","INDXSAMP_CHLA.x","DATECHLA","SAMPLED_CHLA.x","CHLA","SAMPLE_ID_CHLA","LAB_ID_CHLA","CHLA_RL_ALERT","FLAG_FLD_CHLA","COMMENT_FLD_CHLA","FLAG_LAB_CHLA","COMMENT_LAB_CHLA","CHLA_HT_ALERT","CHLA_HT","DATESECCHI","SAMPLED_SECCHI.x","SECMEAN","CLEAR_TO_BOTTOM","COMMENT_SECCHI","VISIT_ID.x","FLAG_SECCHI","VISIT_NO.y","SAMPLED.y","DATE_COL.y","REPEAT","SITE_TYPE.y","LAKE_SAMP.y","TNT","LON_DD","LAT_DD","ALBERS_X","ALBERS_Y","FLD_LON_DD","FLD_LAT_DD","FLD_SRC","FLD_FLAG","STATE_NAME.1","CNTYNAME","EPA_REG","NHDNAME","LAKENAME","AREA_CAT7","NESLAKE","NESLAKE_ID","STRATUM","PANEL","DSGN_CAT","MDCATY","WGT","WGT_NLA","ADJWGT_CAT","URBAN","WSA_ECO3","WSA_ECO9","ECO_LEV_3","ECO_L3_NAM","NUT_REG","NUTREG_NAME","ECO_NUTA","LAKE_ORIGIN","ECO3_X_ORIGIN","REF_CLUSTER","REFCLUS_NAME","RT_NLA","REF_NUTR","AREA_HA","SIZE_CLASS","LAKEAREA","LAKEPERIM","SLD","DEPTH_X","DEPTHMAX","ELEV_PT","HUC_2","HUC_8","REACHCODE","COM_ID","INDEX_SAMP","STATUS_VER","STATUS_FLD","STATUS_DSK","PERM_WATER","NON_SALINE","SRFC_AREA","METER_DEEP","OPEN_WATER","AQUACULTUR","DISPOSAL","SEWAGE","EVAPORATE","PHYS_ACCES","FLAG_INFO","COMMENT_INFO","SAMPLED_PROFILE","SAMPLED_SECCHI.y","SAMPLED_ASSESS","SAMPLED_PHAB","INDXSAMP_PHAB","SAMPLED_CHEM.y","INDXSAMP_CHEM.y","SAMPLED_CHLA.y","INDXSAMP_CHLA.y","SAMPLED_ZOOP","INDXSAMP_ZOOP","SAMPLED_PHYT","INDXSAMP_PHYT","SAMPLED_CORE","INDXSAMP_CORE","SAMPLED_INF","INDXSAMP_INF","SAMPLED_ENTE","INDXSAMP_ENTE","SAMPLED_MICR","INDXSAMP_MICR","SAMPLED_SDHG","INDXSAMP_SDHG","VISIT_ID.y","FID_1"
"108","Ohio","NLA06608-0031",2007,1,"PROB_Lake","Target_Sampled","Yes","6/13/2007","P","6/13/2007","YES","YES",7.6,1,1.9,515041,710043,8.28,NA,357.1,NA,"N",2761.85,NA,8.82,"","N",4.17,NA,"N",3.83,NA,"N",0.011,0.785323,"<RL (0.02)","Y",0.005,"<RL (0.02)","Y",0.428,428,"","N",32,"","N",8.729,246.210174,"","N",0.005,0.5,"<RL (0.02)","Y",36.592,761.84544,"","N",46.52,2321.348,NA,"N",9.883,813.252304,"","N",8.4,365.379924,NA,"N",2.158,55.1943028,"","N",9,"","N",4.167,"","N",0.005,1.905,0.716861513,3555.9,3769.91,-214.01,3555.17,-2.92,38.19,406.49,360.32,2,"N","6/15/2007","6/15/2007","N",9,"Y",8,"Y",9,"Y",5,"Y",15,"Y",14,"N",14,"N",7,"N",58,"Y",58,"Y",5,"N",5,"N",7,"N",308,"Y",308,"Y",308,"Y",308,"Y",5,"Y",7,"N","","","","","YES","6/13/2007","YES",5.264,515042,710043,"N","","","","","Y",30,"6/13/2007","YES",0.98,"","",7510,"",1,"YES","6/13/2007","YES","PROB_Lake","Target_Sampled","Target",-81.51745185,39.77645357,1224615.667,348635.8438,-81.518455,39.776322,"Index_site","","Ohio","NOBLE","Region_5","Caldwell Lake","Caldwell Lake","(20,50]","","","NLALake","Panel_1","SAP_OH_(20,50]",0.029431985,33.64956123,28.82219287,"OH","YES","EHIGH","SAP",70,"Western Allegheny Plateau","XI","The Central and Eastern Forested Uplands","XI","MAN-MADE","EHIGH MAN-MADE","B","E. Highlands: Cold northern lakes and reservoirs","SO-SO","N",24.24953577,"02:>10-50 ha",0.242495358,5.281606466,3.025585236,4.9,4.9,241.93,5,5030201,5030201002117,15429940,"Secchi_Samp","Target_Sampled","Sampleable","Sampleable","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","","","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES (Top only)","YES","NOT DONE","YES","YES","YES","YES","YES","YES","YES",7510,50
"109","Ohio","NLA06608-0031",2007,1,"PROB_Lake","Target_Sampled","Yes","6/13/2007","P","6/13/2007","YES","YES",7.6,1,1.9,515041,710043,8.28,NA,357.1,NA,"N",2761.85,NA,8.82,"","N",4.17,NA,"N",3.83,NA,"N",0.011,0.785323,"<RL (0.02)","Y",0.005,"<RL (0.02)","Y",0.428,428,"","N",32,"","N",8.729,246.210174,"","N",0.005,0.5,"<RL (0.02)","Y",36.592,761.84544,"","N",46.52,2321.348,NA,"N",9.883,813.252304,"","N",8.4,365.379924,NA,"N",2.158,55.1943028,"","N",9,"","N",4.167,"","N",0.005,1.905,0.716861513,3555.9,3769.91,-214.01,3555.17,-2.92,38.19,406.49,360.32,2,"N","6/15/2007","6/15/2007","N",9,"Y",8,"Y",9,"Y",5,"Y",15,"Y",14,"N",14,"N",7,"N",58,"Y",58,"Y",5,"N",5,"N",7,"N",308,"Y",308,"Y",308,"Y",308,"Y",5,"Y",7,"N","","","","","YES","6/13/2007","YES",5.264,515042,710043,"N","","","","","Y",30,"6/13/2007","YES",0.98,"","",7510,"",2,"YES","9/5/2007","YES","PROB_Lake","Target_Sampled","Target",-81.51745185,39.77645357,1224615.667,348635.8438,-81.51892,39.77637,"Index_site","","Ohio","NOBLE","Region_5","Caldwell Lake","Caldwell Lake","(20,50]","","","NLALake","Panel_1","SAP_OH_(20,50]",0.029431985,33.64956123,28.82219287,"OH","YES","EHIGH","SAP",70,"Western Allegheny Plateau","XI","The Central and Eastern Forested Uplands","XI","MAN-MADE","EHIGH MAN-MADE","B","E. Highlands: Cold northern lakes and reservoirs","SO-SO","N",24.24953577,"02:>10-50 ha",0.242495358,5.281606466,3.025585236,4.8,4.8,241.93,5,5030201,5030201002117,15429940,"Secchi_Samp","Target_Sampled","Sampleable","Sampleable","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","","","YES","YES","NO","NOT DONE","NO","YES","NO","YES","NO","YES","NO","YES","NO","YES (Top only)","NO","NOT DONE","NO","YES","NO","YES","NO","YES","NO",7511,51
"110","Ohio","NLA06608-0031",2007,2,"PROB_Lake","Target_Sampled","Yes","9/5/2007","P","9/5/2007","YES","NO",7.4,1,1.8,509321,711156,8.19,NA,347.9,NA,"N",2636.53,NA,6.24,"","N",3.97,NA,"N",3.99,NA,"N",0.012,0.856716,"<RL (0.02)","Y",0.005,"<RL (0.02)","Y",0.394,394,"","N",24,"","N",9.128,257.464368,"","N",0.005,0.5,"<RL (0.02)","Y",30.95,644.379,"","N",44.58,2224.542,NA,"N",9.278,763.468064,"","N",8.149,354.4620239,NA,"N",2.425,62.023255,"","N",12,"","N",3.211,"","N",0.006,1.549,0.795002582,3405.3,3538.81,-133.51,3404.5,-1.92,39.77,383.92,343.53,1,"N","9/6/2007","9/6/2007","N",2,"N",1,"N",2,"N",1,"N",90,"Y",121,"Y",22,"N",5,"N",9,"N",9,"N",170,"Y",170,"Y",170,"Y",204,"Y",204,"Y",204,"Y",204,"Y",1,"N",5,"N","","","","","NO","9/5/2007","YES",8.496,509322,711156,"N","","","","","N",14,"9/5/2007","YES",0.9,"","",7511,"",1,"YES","6/13/2007","YES","PROB_Lake","Target_Sampled","Target",-81.51745185,39.77645357,1224615.667,348635.8438,-81.518455,39.776322,"Index_site","","Ohio","NOBLE","Region_5","Caldwell Lake","Caldwell Lake","(20,50]","","","NLALake","Panel_1","SAP_OH_(20,50]",0.029431985,33.64956123,28.82219287,"OH","YES","EHIGH","SAP",70,"Western Allegheny Plateau","XI","The Central and Eastern Forested Uplands","XI","MAN-MADE","EHIGH MAN-MADE","B","E. Highlands: Cold northern lakes and reservoirs","SO-SO","N",24.24953577,"02:>10-50 ha",0.242495358,5.281606466,3.025585236,4.9,4.9,241.93,5,5030201,5030201002117,15429940,"Secchi_Samp","Target_Sampled","Sampleable","Sampleable","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","","","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES (Top only)","YES","NOT DONE","YES","YES","YES","YES","YES","YES","YES",7510,50
"111","Ohio","NLA06608-0031",2007,2,"PROB_Lake","Target_Sampled","Yes","9/5/2007","P","9/5/2007","YES","NO",7.4,1,1.8,509321,711156,8.19,NA,347.9,NA,"N",2636.53,NA,6.24,"","N",3.97,NA,"N",3.99,NA,"N",0.012,0.856716,"<RL (0.02)","Y",0.005,"<RL (0.02)","Y",0.394,394,"","N",24,"","N",9.128,257.464368,"","N",0.005,0.5,"<RL (0.02)","Y",30.95,644.379,"","N",44.58,2224.542,NA,"N",9.278,763.468064,"","N",8.149,354.4620239,NA,"N",2.425,62.023255,"","N",12,"","N",3.211,"","N",0.006,1.549,0.795002582,3405.3,3538.81,-133.51,3404.5,-1.92,39.77,383.92,343.53,1,"N","9/6/2007","9/6/2007","N",2,"N",1,"N",2,"N",1,"N",90,"Y",121,"Y",22,"N",5,"N",9,"N",9,"N",170,"Y",170,"Y",170,"Y",204,"Y",204,"Y",204,"Y",204,"Y",1,"N",5,"N","","","","","NO","9/5/2007","YES",8.496,509322,711156,"N","","","","","N",14,"9/5/2007","YES",0.9,"","",7511,"",2,"YES","9/5/2007","YES","PROB_Lake","Target_Sampled","Target",-81.51745185,39.77645357,1224615.667,348635.8438,-81.51892,39.77637,"Index_site","","Ohio","NOBLE","Region_5","Caldwell Lake","Caldwell Lake","(20,50]","","","NLALake","Panel_1","SAP_OH_(20,50]",0.029431985,33.64956123,28.82219287,"OH","YES","EHIGH","SAP",70,"Western Allegheny Plateau","XI","The Central and Eastern Forested Uplands","XI","MAN-MADE","EHIGH MAN-MADE","B","E. Highlands: Cold northern lakes and reservoirs","SO-SO","N",24.24953577,"02:>10-50 ha",0.242495358,5.281606466,3.025585236,4.8,4.8,241.93,5,5030201,5030201002117,15429940,"Secchi_Samp","Target_Sampled","Sampleable","Sampleable","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","","","YES","YES","NO","NOT DONE","NO","YES","NO","YES","NO","YES","NO","YES","NO","YES (Top only)","NO","NOT DONE","NO","YES","NO","YES","NO","YES","NO",7511,51
"335","Ohio","NLA06608-0111",2007,1,"PROB_Lake","Target_Sampled","Yes","8/1/2007","P","8/1/2007","YES","YES",8.41,1,2,515011,710649,7.96,NA,395.2,NA,"N",1435.48,NA,3.45,"","N",3.88,NA,"N",3.79,NA,"N",0.011,0.785323,"<RL (0.02)","Y",0.025,"","N",0.343,343,"","N",6,"","N",49.776,1403.981856,"","N",0.072,5.140296,"","N",38.071,792.63822,"","N",30.38,1515.962,NA,"N",8.753,720.266864,"","N",27.6,1200.534036,NA,"N",2.538,64.9134108,"","N",8,"","N",1.092,"","N",0.011,0.912,0.75099503,3502.44,3637.25,-134.81,3501.68,-1.89,37.71,428.22,382.61,1,"N","8/2/2007","8/2/2007","N",2,"N",2,"N",2,"N",2,"N",219,"Y",14,"N",8,"N",5,"N",34,"Y",34,"Y",154,"Y",154,"Y",156,"Y",286,"Y",286,"Y",286,"Y",286,"Y",2,"N",5,"N","","","","","YES","8/1/2007","YES",3.256,515012,710649,"N","","","","","N",23,"8/1/2007","YES",1.68,"","",7596,"",1,"YES","8/1/2007","","PROB_Lake","Target_Sampled","Target",-81.13692241,41.13540548,1232822.508,503968.6502,-81.09237,41.15006,"Index_site","","Ohio","PORTAGE","Region_5","","West Branch Reservoir (AKA M.J.Kirwan Reservoir)",">100","","","NLALake","Panel_1","NAP_OH_>100",0.041835122,23.67325186,20.27708552,"OH","YES","EHIGH","NAP",61,"Erie Drift Plain","VII","Mostly Glaciated Dairy Region","VII","MAN-MADE","EHIGH MAN-MADE","B","E. Highlands: Cold northern lakes and reservoirs","SO-SO","N",1064.647066,"05:>500-5000 ha",10.64647066,64.75594294,5.598502401,12.8,12.8,286.66,5,5030103,5030103001727,13155459,"Secchi_Samp","Target_Sampled","Sampleable","Sampleable","","","","","","","","","","","","","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES (Top only)","YES","NOT DONE","YES","YES","YES","YES","YES","YES","YES",7596,169
"408","Ohio","NLA06608-0175",2007,1,"PROB_Lake","Target_Sampled","Yes","8/30/2007","P","8/30/2007","YES","YES",8.5,1,1.76,509781,711107,8.47,NA,365.2,NA,"N",2808.12,NA,5.18,"","N",4.9,NA,"N",4,NA,"N",0.01,0.71393,"<RL (0.02)","Y",0.005,"<RL (0.02)","Y",0.698,698,"","N",55,"","N",20.337,573.625422,"","N",0.005,0.5,"<RL (0.02)","Y",16.333,340.05306,"","N",32.55,1624.245,NA,"N",19.08,1570.05504,"","N",9.023,392.478935,NA,"N",3.523,90.1063618,"","N",8,"","N",1.198,"","N",0.003,2.951,0.621936506,3677.51,3721.8,-44.29,3676.89,-0.6,39.92,402.52,372.77,1,"N","8/31/2007","8/31/2007","N",2,"N",1,"N",2,"N",1,"N",79,"Y",47,"Y",27,"N",7,"N",15,"N",15,"N",168,"Y",168,"Y",168,"Y",210,"Y",210,"Y",210,"Y",210,"Y",1,"N",7,"N","","","","","YES","8/30/2007","YES",19.68,509782,711107,"N","","","","","N",15,"8/30/2007","YES",0.91,"","",7640,"",1,"YES","8/30/2007","","PROB_Lake","Target_Sampled","Target",-84.68705386,39.68102041,959316.7029,301615.2247,-84.686731,39.688423,"Index_site","","Ohio","PREBLE","Region_5","Lake Lakengren","Lake Lakengren","(50,100]","","","NLALake","Panel_1","TPL_OH_(50,100]",0.070262915,14.09525025,12.07314468,"OH","NO","PLNLOW","TPL",55,"Eastern Corn Belt Plains","VI","Corn Belt and Northern Great Plains","VI","MAN-MADE","PLNLOW MAN-MADE","C","Plains and Lowlands: Low-elevation deep lakes and reservoirs-northern central Plains","SO-SO","N",82.48245998,"03:>50-100 ha",0.8248246,11.4149771,3.545596501,6.6,6.6,311.68,5,5080002,5080002001687,3881496,"Secchi_Samp","Target_Sampled","","Sampleable","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","","","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES (Top only)","YES","NOT DONE","YES","YES","YES","YES","YES","YES","YES",7640,241
"507","Ohio","NLA06608-0271",2007,1,"PROB_Lake","Target_Sampled","Yes","6/27/2007","P","6/27/2007","YES","YES",8.56,0.5,0.75,505421,710160,8.36,NA,418.1,NA,"N",3451.84,NA,35.7,"","N",6.85,NA,"N",5.59,NA,"N",0.025,1.784825,"","N",0.005,"<RL (0.02)","Y",0.857,857,"","N",99,"","N",12.545,353.84427,"","N",0.005,0.5,"<RL (0.02)","Y",33.747,702.61254,"","N",48.55,2422.645,NA,"N",18.36,1510.80768,"","N",5.34,232.2772374,NA,"N",3.738,95.6053308,"","N",12,"","N",2.796,"","N",0.004,2.291,1.601000828,4262.94,4508.3,-245.36,4261.34,-2.8,55.76,480.09,431,2,"N","6/29/2007","6/29/2007","N",8,"Y",8,"Y",8,"Y",5,"Y",16,"Y",15,"Y",35,"Y",6,"N",96,"Y",48,"Y",101,"Y",97,"Y",101,"Y",296,"Y",296,"Y",296,"Y",296,"Y",5,"Y",6,"N","","","","","YES","6/27/2007","YES",30.04,505422,710160,"N","","","","","Y",29,"6/27/2007","YES",0.38,"","DUE TO CHOPPY WAVES AT INDEX LOCATION SECCHI TAKEN IN CANAL NEAR LAUNCH",7708,"U",1,"YES","6/27/2007","","PROB_Lake","Target_Sampled","Target",-83.87906608,40.47787067,1016116.806,398616.1298,-83.88977,40.49015,"Index_site","","Ohio","LOGAN","Region_5","Lucys Pond","Lucys Pond",">100","NESLake","3915","NLALake","Panel_1","NESLake",0.12642225,7.833853361,6.710008221,"OH","YES","PLNLOW","TPL",55,"Eastern Corn Belt Plains","VI","Corn Belt and Northern Great Plains","VI","NATURAL","PLNLOW NATURAL","E","Plains and Lowlands: Higher-elevation, shallow lakes and reservoirs-northern central Plains","SO-SO","N",2010.568777,"05:>500-5000 ha",20.10568777,72.84914595,4.583107729,2,2,303.7,5,5080001,5080001002765,15651051,"Secchi_Samp","Target_Sampled","","Sampleable","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","","","YES","YES","YES, PARTIAL","NOT DONE","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES (Top only)","YES","NOT DONE","YES","YES","YES","YES","YES","YES","YES",7708,346
"531","Ohio","NLA06608-0303",2007,1,"PROB_Lake","Target_Sampled","Yes","8/7/2007","P","8/7/2007","YES","YES",8.37,1,1.2,511251,710749,8.46,NA,584,NA,"N",2362.13,NA,8.94,"","N",7.12,NA,"N",6.45,NA,"N",0.057,4.069401,"","N",0.293,"","N",1.523,1523,"","N",79,"","N",55.069,1553.276214,"","N",0.349,24.916157,"","N",85.524,1780.60968,"","N",48.79,2434.621,NA,"N",16.4,1349.5232,"","N",39.2,1705.106312,NA,"N",7.269,185.9163054,"","N",15,"","N",1.346,"","N",0.003,2.884,3.555466623,5678.73,5720.94,-42.21,5675.17,-0.37,64.36,683.94,587.46,2,"N","8/9/2007","8/9/2007","N",3,"N",2,"N",3,"N",2,"N",22,"Y",15,"Y",20,"N",6,"N",31,"Y",31,"Y",156,"Y",153,"Y",156,"Y",282,"Y",282,"Y",282,"Y",282,"Y",3,"N",6,"N","","SAMPLES COLLECTED AT 1218 HRS","","","YES","8/7/2007","YES",84.24,511252,710749,"N","","","","","N",24,"8/7/2007","YES",0.63,"","",7730,"",1,"YES","8/7/2007","","PROB_Lake","Target_Sampled","Target",-82.72837965,41.08805669,1102467.855,479170.8839,-82.7306,41.092,"Index_site","","Ohio","HURON","Region_5","Holiday Lake","Holiday Lake","(50,100]","NESLake","3930","NLALake","Panel_1","NESLake",0.12642225,7.833853361,6.710008221,"OH","YES","PLNLOW","TPL",55,"Eastern Corn Belt Plains","VI","Corn Belt and Northern Great Plains","VI","MAN-MADE","PLNLOW MAN-MADE","E","Plains and Lowlands: Higher-elevation, shallow lakes and reservoirs-northern central Plains","TRASH","N",80.71896369,"03:>50-100 ha",0.807189637,11.2785111,3.541270083,4.4,4.4,249.78,4,4100012,4100012000844,15603972,"Secchi_Samp","Target_Sampled","","Sampleable","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","","","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES (Top only)","YES","NOT DONE","YES","YES","YES","YES","YES","YES","YES",7730,379
"567","Ohio","NLA06608-0367",2007,1,"PROB_Lake","Target_Sampled","Yes","8/23/2007","P","8/23/2007","YES","YES",8.57,1,0.58,508971,710988,8.63,NA,339.3,NA,"N",1501.36,NA,8.2,"","N",5.4,NA,"N",4.66,NA,"N",0.012,0.856716,"<RL (0.02)","Y",0.005,"<RL (0.02)","Y",2.157,2157,"","N",54,"","N",45.629,1287.011574,"","N",0.005,0.5,"<RL (0.02)","Y",16.327,339.92814,"","N",28.46,1420.154,NA,"N",5.847,481.137936,"","N",23.57,1025.238668,NA,"N",1.644,42.0479304,"","N",13,"","N",1.794,"","N",0.002,4.266,0.705812187,2969.29,3128.3,-159.02,2968.58,-2.61,46.53,357.31,331.59,1,"N","8/24/2007","8/24/2007","N",2,"N",1,"N",2,"N",1,"N",77,"Y",15,"Y",8,"N",6,"N",20,"N",20,"N",174,"Y",167,"Y",167,"Y",180,"N",180,"N",180,"N",180,"N",1,"N",6,"N","","","","","YES","8/23/2007","YES",59.4,508972,710988,"N","","","","","N",20,"8/23/2007","YES",0.29,"","-ATH: field form numbers in cm converted to m",7765,"",1,"YES","8/23/2007","","PROB_Lake","Target_Sampled","Target",-81.22089462,41.36496934,1221933.225,528271.804,-81.19686,41.39141,"Index_site","","Ohio","GEAUGA","Region_5","","La Due Reservoir",">100","","","NLALake","Panel_1","NAP_OH_>100",0.041835122,23.67325186,20.27708552,"OH","YES","EHIGH","NAP",61,"Erie Drift Plain","VII","Mostly Glaciated Dairy Region","VII","MAN-MADE","EHIGH MAN-MADE","B","E. Highlands: Cold northern lakes and reservoirs","TRASH","N",568.3463456,"05:>500-5000 ha",5.683463456,30.56466562,3.616664147,6.4,6.4,337,4,4110002,4110002001182,15585938,"Secchi_Samp","Target_Sampled","Sampleable","Sampleable","","","","","","","","","","","","","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES (Top only)","YES","NOT DONE","YES","YES","YES","YES","YES","YES","YES",7765,444
"612","Ohio","NLA06608-0445",2007,1,"PROB_Lake","Target_Sampled","Yes","6/28/2007","P","6/28/2007","YES","YES",7.9,1,2,515031,710157,8.23,NA,385.2,NA,"N",1682.51,NA,3.55,"","N",3.82,NA,"N",3.54,NA,"N",0.043,3.069899,"","N",0.005,"<RL (0.02)","Y",0.336,336,"","N",15,"","N",32.875,927.27225,"","N",0.005,0.5,"<RL (0.02)","Y",49.879,1038.48078,"","N",38.11,1901.689,NA,"N",9.362,770.380256,"","N",17.31,752.9436291,NA,"N",2.204,56.3708264,"","N",6,"","N",0.104,"","N",0.006,1.698,2.829097608,3484.22,3648.27,-164.05,3481.38,-2.3,35.29,424.95,370.79,1,"N","6/29/2007","6/29/2007","N",7,"Y",7,"N",7,"N",4,"Y",14,"N",13,"N",34,"Y",5,"N",95,"Y",47,"Y",100,"Y",96,"Y",100,"Y",295,"Y",295,"Y",295,"Y",295,"Y",4,"Y",5,"N","","","","","YES","6/28/2007","YES",6.848,515032,710157,"N","","","","","N",28,"6/28/2007","YES",1.47,"","",7803,"",1,"YES","6/28/2007","","PROB_Lake","Target_Sampled","Target",-81.01548859,40.04075657,1262063.976,384463.5266,-81.01454,40.04021,"Index_site","","Ohio","BELMONT","Region_5","Belmont Lake","Belmont Lake","(20,50]","","","NLALake","Panel_1","SAP_OH_(20,50]",0.029431985,33.64956123,28.82219287,"OH","YES","EHIGH","SAP",70,"Western Allegheny Plateau","XI","The Central and Eastern Forested Uplands","XI","MAN-MADE","EHIGH MAN-MADE","A","E. Highlands: Large, warm, and deep reservoirs","TRASH","N",43.04307317,"02:>10-50 ha",0.430430732,6.510790055,2.799478418,8.4,8.4,322.66,5,5030106,5030106001804,19453325,"Secchi_Samp","Target_Sampled","Sampleable","Sampleable","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","","","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES (Top only)","YES","NOT DONE","YES","YES","YES","YES","YES","YES","YES",7803,524
