OBJECTID,WATERBODY_,SHAPE_Leng,SHAPE_Area,Secchi,Depth,DOC,Wshed_area,Wshed_perim
2967,591300,1842.665136,139335.2379,2.15,2.5,5.7,781930,5493
3121,607825,522.2167858,14079.71399,0.9,0.9,13.01,103234,2007
4215,968800,7291.419389,1525555.636,2.55,9.2,3.35,10364555,27784
4226,969900,2102.438656,151923.6912,2.6,2.6,4.52,490357,3909
4227,970000,2986.083478,272946.8759,4.18,9.8,3.78,823777,6127
4237,971000,782.4249763,31190.49998,1.45,3.45,9.63,147183,2007
4244,971700,2814.891896,373775.2147,3.18,3.6,5.13,1642692,12835
4248,972100,3978.38486,418880.9305,4.8,5.8,5.42,1367175,8716
4277,974900,2336.594354,174689.8871,1.45,3.5,8.03,3202348,15741
4289,976100,5492.421089,1372419.203,3.33,4.5,4.05,3632710,14051
4340,981200,4595.29678,389641.7378,5.18,8.05,3.81,2081384,9983
4368,984000,874.3636214,51344.82885,2.25,9.1,6.28,260877,2905
4417,989000,2269.726901,263013.4176,1.3,4.2,3.84,654271,4490
4462,993500,1367.650232,90277.94836,2.1,2.1,5.82,3529484,16005
4469,994200,488.927967,12817.97962,1.7,4.3,7.916,103232,1796
4513,998600,3115.035989,258597.4153,1.85,4.45,6.02,784715,5441
4515,998800,2797.523798,204832.3627,3.35,4.1,4.04,1748692,8188
4518,999100,1505.668628,87936.25309,4.53,6.2,3.7,269246,2852
4538,1001100,3466.364443,261037.2786,3.55,6.1,4.9,1002347,7078
4540,1001300,4592.949953,456901.0964,2.7,2.7,2.93,1942600,8504
4601,1007400,500.7375955,17768.62373,2.73,7.5,6.77,110900,1849
4611,1008400,1575.667059,105277.4004,4.85,14.8,3.85,721252,4913
4612,1008500,2349.969865,153430.8275,2.83,3.65,6.13,2482469,9244
4660,1013200,1902.991545,124329.1844,7.55,11.4,3.39,964658,7131
4719,1018900,5235.311492,536671.4285,3.33,4.6,5.46,3641089,13311
5538,1110100,311.0749765,7184.891812,1.98,2.5,7.24,58582,1321
5543,1110900,677.1662754,9399.460452,1.28,2.7,11.94,66272,1321
5570,1113500,173.3312739,1706.040916,1.5,1.5,4.99,3488,264
5574,1113900,225.3456078,3724.152221,1.2,1.95,9.55,42535,1162
5592,1115800,405.8393488,10632.10134,0.58,4.45,12.68,52322,1109
5593,1115900,132.7167181,1103.873222,0.95,2.3,13.92,79519,1796
5594,1116000,448.585497,10099.83984,0.45,2,25.52,553138,4384
5599,1116500,265.7049911,3588.777976,1.35,1.9,10,64871,1426
5600,1116600,248.7480004,2545.122822,0.3,1.7,28.13,25815,898
5654,1122300,206.7186766,3226.302111,0.95,3,12.4,21618,845
5682,1125000,226.7950428,4032.138545,1.6,3.4,7.7,189724,2430
5685,1125300,427.4490097,5622.782182,0.8,0.8,9.86,59288,1373
5686,1125400,161.3025215,1533.914188,0.9,1.3,9.59,61378,1638
5703,1127100,480.3508808,14911.72629,1.53,8.15,0.8,1024664,6708
5726,1129400,280.3723032,5746.619724,1.55,8.5,9.67,83708,1373
5764,1133400,659.1610017,25255.90496,1.65,3.4,8.53,335514,3856
5808,1138100,355.4711963,8678.92855,2.25,8.8,7.25,80203,1585
5811,1138400,1059.558789,60770.63993,4.3,7,4.69,210643,2218
5825,1139900,1141.439504,32244.40965,1.35,3.9,7.66,61381,1268
5897,1147500,877.85142,51002.19366,1.2,2.6,10.97,414339,3328
5917,1149800,372.9479725,6773.448087,2.9,4.65,6.62,33483,845
5953,1153600,516.478421,20183.06738,0.88,4,7.32,225993,2430
5967,1155000,577.9708064,22398.77651,0.45,7.65,20.42,1125804,6497
6030,1161500,491.2620633,14768.62941,0.85,0.85,11.15,64190,1426
6040,1162500,602.8165218,20088.31011,3.1,4.6,4.99,149260,2324
6041,1162600,732.8024303,29141.29819,2.5,4,5.4,54407,1320
6054,1163900,1124.292542,18065.26668,1,1,10.1,1099957,8557
6083,1166500,419.832782,12283.75316,0.7,0.7,9.66,118569,1743
6145,1172900,249.7900429,4772.74898,1.75,5.9,9.92,147191,1954
6151,1173500,636.3713111,30556.07597,0.6,8.2,11.13,170892,2166
6176,1177100,426.9283413,9235.947462,0.6,1,27.71,102538,1690
6178,1177300,725.963441,38100.77382,3.1,4.8,7.62,409441,4437
6187,1178200,1489.001468,128510.5708,2.75,4.7,5.19,1280639,8927
6193,1178800,1229.335201,67901.32851,2.85,3.45,4.72,157644,2430
6195,1179000,1982.699506,171123.4553,3.33,8.75,4.58,901204,6497
6992,1518500,73.28708686,381.0580403,0.35,0.35,4.12,202979,3275
7071,1534800,7092.763284,801465.8327,2.65,6.5,3.88,3937536,20759
7104,1540400,7275.576137,901067.8397,4.14,4.28,4.018,4864542,23453
7136,1546000,4912.603842,191489.6986,1.7,2.4,5.56,4881,317
7221,1568900,3094.62759,232705.8853,2.9,4.7,7.55,3339050,12043
7273,1580400,9045.462634,738392.968,0.55,2.7,14.51,8365374,22396
7298,1585600,2791.796198,148118.1521,0.53,1.3,21.91,14023730,36183
7308,1587600,4552.820917,487937.5153,2.1,2.1,5.08,1918206,8346
7332,1591100,12994.03043,6563022.921,2.25,9,3.41,41904472,70728
