datetime,Rain
1/1/2001 0:00,2
1/2/2001 0:00,1.8
1/3/2001 0:00,0
1/4/2001 0:00,0
1/5/2001 0:00,2
1/6/2001 0:00,3
1/7/2001 0:00,0
1/8/2001 0:00,0
1/9/2001 0:00,0
1/10/2001 0:00,0
1/11/2001 0:00,29
1/12/2001 0:00,0
1/13/2001 0:00,13
1/14/2001 0:00,4.5
1/15/2001 0:00,1.5
1/16/2001 0:00,2
1/17/2001 0:00,4
1/18/2001 0:00,2
1/19/2001 0:00,1.5
1/20/2001 0:00,0.5
1/21/2001 0:00,2
1/22/2001 0:00,5
1/23/2001 0:00,4
1/24/2001 0:00,0
1/25/2001 0:00,2.6
1/26/2001 0:00,2.6
1/27/2001 0:00,2.6
1/28/2001 0:00,2.6
1/29/2001 0:00,2.6
1/30/2001 0:00,16.45
1/31/2001 0:00,4.23
2/1/2001 0:00,1.09
2/2/2001 0:00,4.34
2/3/2001 0:00,0.26
2/4/2001 0:00,3.51
2/5/2001 0:00,7.73
2/6/2001 0:00,0.97
2/7/2001 0:00,0.36
2/8/2001 0:00,1.06
2/9/2001 0:00,35.35
2/10/2001 0:00,5.11
2/11/2001 0:00,5.11
2/12/2001 0:00,5.11
2/13/2001 0:00,5.11
2/14/2001 0:00,5.11
2/15/2001 0:00,5.11
2/16/2001 0:00,5.11
2/17/2001 0:00,5.11
2/18/2001 0:00,5.11
2/19/2001 0:00,5.11
2/20/2001 0:00,5.11
2/21/2001 0:00,2.15
2/22/2001 0:00,0
2/23/2001 0:00,0.2
2/24/2001 0:00,0.01
2/25/2001 0:00,25.51
2/26/2001 0:00,0.45
2/27/2001 0:00,0.36
2/28/2001 0:00,0.09
3/1/2001 0:00,0.03
3/2/2001 0:00,0.6
3/3/2001 0:00,0.34
3/4/2001 0:00,3.05
3/5/2001 0:00,3.86
3/6/2001 0:00,0
3/7/2001 0:00,0
3/8/2001 0:00,3.21
3/9/2001 0:00,0.79
3/10/2001 0:00,0.16
3/11/2001 0:00,5.15
3/12/2001 0:00,2.84
3/13/2001 0:00,15.26
3/14/2001 0:00,3.84
3/15/2001 0:00,0.08
3/16/2001 0:00,0.02
3/17/2001 0:00,0.05
3/18/2001 0:00,0
3/19/2001 0:00,0
3/20/2001 0:00,0.03
3/21/2001 0:00,0
3/22/2001 0:00,0.01
3/23/2001 0:00,0
3/24/2001 0:00,0
3/25/2001 0:00,0.03
3/26/2001 0:00,0.55
3/27/2001 0:00,0
3/28/2001 0:00,0
3/29/2001 0:00,0.01
3/30/2001 0:00,0
3/31/2001 0:00,0
4/1/2001 0:00,0.05
4/2/2001 0:00,0.02
4/3/2001 0:00,-0.02
4/4/2001 0:00,0.03
4/5/2001 0:00,0.01
4/6/2001 0:00,0.32
4/7/2001 0:00,3.04
4/8/2001 0:00,0
4/9/2001 0:00,0
4/10/2001 0:00,0.03
4/11/2001 0:00,0.31
4/12/2001 0:00,9.03
4/13/2001 0:00,2.8
4/14/2001 0:00,0.04
4/15/2001 0:00,0
4/16/2001 0:00,0.24
4/17/2001 0:00,1.62
4/18/2001 0:00,0
4/19/2001 0:00,-0.02
4/20/2001 0:00,0.04
4/21/2001 0:00,0.69
4/22/2001 0:00,1.19
4/23/2001 0:00,0.22
4/24/2001 0:00,2.57
4/25/2001 0:00,0
4/26/2001 0:00,0.35
4/27/2001 0:00,0.56
4/28/2001 0:00,0.32
4/29/2001 0:00,0.07
4/30/2001 0:00,0
5/1/2001 0:00,0
