datetime,wtr,DO_con
4/24/1991 0:00,3.3,8.9
5/1/1991 0:00,7.6,9.8
5/13/1991 0:00,15.9,10.1
5/22/1991 0:00,18.9,9.3
6/5/1991 0:00,20.1,8.9
6/19/1991 0:00,24.6,8.6
7/8/1991 0:00,22.6,8.1
7/22/1991 0:00,24.7,8
8/6/1991 0:00,21.3,8.2
8/22/1991 0:00,22.2,8.3
9/5/1991 0:00,21.1,8
9/17/1991 0:00,19.9,8.8
10/1/1991 0:00,13.1,9.5
10/16/1991 0:00,10.2,9.8
10/30/1991 0:00,9.5,10
11/14/1991 0:00,5.3,9.6
1/22/1992 0:00,2.8,12.2
2/27/1992 0:00,1.9,11.8
4/6/1992 0:00,2.4,12.3
5/7/1992 0:00,5.5,9.6
6/8/1992 0:00,18.6,9.2
6/30/1992 0:00,18.5,9.4
7/28/1992 0:00,20.6,8.3
8/26/1992 0:00,22.2,9.1
9/17/1992 0:00,18.9,8.3
10/14/1992 0:00,11.5,10.7
11/16/1992 0:00,4.5,7
2/10/1993 0:00,1.9,10.1
4/8/1993 0:00,2.5,11.9
4/28/1993 0:00,4.8,8.9
5/20/1993 0:00,12.9,10.2
6/29/1993 0:00,20.7,9.2
8/11/1993 0:00,22.3,7.7
9/15/1993 0:00,17.7,8.9
10/18/1993 0:00,9.5,11.1
11/15/1993 0:00,5.1,10.2
5/4/1994 0:00,5.9,9.5
5/18/1994 0:00,9.4,
6/3/1994 0:00,15.1,
6/15/1994 0:00,21.2,8.8
6/22/1994 0:00,23.4,
6/30/1994 0:00,20.9,
7/13/1994 0:00,22.6,
7/21/1994 0:00,25.2,7.8
8/9/1994 0:00,21.3,8.2
9/14/1994 0:00,18.1,8.9
10/24/1994 0:00,11.4,9.5
3/20/1995 0:00,3,10.03
4/20/1995 0:00,4.8,8.91
5/24/1995 0:00,13.8,10.03
6/21/1995 0:00,23.6,8.69
7/20/1995 0:00,22.4,8.3
8/22/1995 0:00,23.6,7.7
9/21/1995 0:00,16.3,9
11/7/1995 0:00,6.4,7.9
5/7/1996 0:00,5.6,8.4
6/11/1996 0:00,18.9,8.2
7/11/1996 0:00,20.3,8.7
8/21/1996 0:00,22.8,8.5
9/11/1996 0:00,21.1,8.1
10/9/1996 0:00,12.2,10.1
5/6/1997 0:00,4,8.8
6/12/1997 0:00,22.3,9.1
7/10/1997 0:00,20.4,9
8/7/1997 0:00,21.5,8.3
9/15/1997 0:00,18.6,8.7
10/30/1997 0:00,8,9.6
4/20/1998 12:24,5.7,9.5
5/7/1998 11:19,16.8,12.4
5/21/1998 8:35,19.3,9.4
6/5/1998 8:52,15.5,9.8
6/16/1998 8:15,19.7,9.2
6/30/1998 8:45,24,8.7
7/14/1998 8:26,23.1,8.7
8/12/1998 9:24,21.7,9.3
8/27/1998 9:34,21.8,9.5
9/17/1998 11:50,19.2,8.8
10/5/1998 12:30,14.6,9.3
10/26/1998 13:11,10.9,10.1
5/4/1999 9:00,14.6,11.3
5/11/1999 12:30,14.7,11
5/27/1999 9:30,15.3,12.6
6/10/1999 13:55,23.5,10.3
6/17/1999 12:30,19.9,10.4
6/30/1999 13:00,22.4,10.3
7/28/1999 13:30,25.1,8
8/9/1999 10:50,21.2,8.9
8/24/1999 13:40,22.5,8.7
9/13/1999 10:00,20.4,9.4
9/27/1999 13:00,16.2,10.7
10/14/1999 12:00,11.2,11.7
11/4/1999 11:30,7.6,12
4/19/2000 12:30,4.4,11.3
5/11/2000 13:05,14.7,11
5/24/2000 13:00,15.3,10.8
6/6/2000 10:00,16.7,10.1
6/22/2000 12:30,19.4,9.4
7/4/2000 1:30,21.7,8.62
7/18/2000 12:59,21.2,10.72
8/2/2000 12:00,23.9,8.6
8/16/2000 22:50,22.6,8.52
8/29/2000 12:00,21.1,9.11
9/13/2000 12:00,20.2,8.96
9/25/2000 11:00,16,8.7
10/10/2000 11:30,11.7,9.21
10/26/2000 13:00,11.6,10.4
11/20/2000 13:30,6.2,10.29
11/27/2000 13:30,4.7,8.44
5/7/2001 10:00,14,12
5/24/2001 13:00,17,9.1
6/5/2001 10:30,15.9,8.79
6/20/2001 10:15,21.3,6.64
7/3/2001 12:15,21.5,12.66
7/18/2001 11:00,23.7,9.17
8/2/2001 12:00,24.8,8.19
8/14/2001 10:00,24.4,
8/28/2001 10:30,22.2,8.31
9/12/2001 10:15,19.8,8.23
9/27/2001 9:30,15.2,8.64
10/9/2001 11:00,12.8,9.3
10/24/2001 9:30,10.4,9.25
11/5/2001 10:00,8,9.8
11/30/2001 12:30,5.4,10.1
