DOCR_RespParam,DOCL_RespParam,BurialFactor_R,BurialFactor_L
0.002501108,0.003,1,0.9543691
0.002373177,0.003,1,1
0.002328529,0.003,1,0.9437634
0.002220943,0.003000002,1,0.9999999
0.002492782,0.003,1,0.8854171
0.002330557,0.003,1,1
0.002327615,0.003,1,1
0.002450828,0.003,1,0.9427171
0.002554242,0.003,1,0.8335988
0.002601041,0.004886781,1,0.5140933
0.002750631,0.006684797,1,0.2013668
0.002808245,0.008187203,1,0
0.003,0.005623366,1,0.2548139
0.002795243,0.006366703,1,0.2253846
0.00230985,0.003,1,0.9486729
0.002523215,0.003,1,0.9076042
0.002819874,0.003169046,1,0.7171356
0.002198908,0.003000787,0.9996639,0.9996806
0.002348485,0.003,1,0.9224537
0.002233047,0.003004702,0.9982273,0.9991435
0.002383086,0.003001088,0.9998483,0.9995218
0.002256495,0.003002708,0.9996985,0.999633
0.002475381,0.003,1,0.9813474
0.002268771,0.003,1,0.8979634
0.002385099,0.003,1,0.9142681
0.002639149,0.004438377,1,0.6571305
0.002631196,0.004843257,1,0.5474857
0.002977611,0.005105265,1,0.3931183
0.002249009,0.003,1,0.9628629
0.002237536,0.003,1,1
0.002423387,0.003,1,0.9663942
0.002419961,0.003,1,0.9517312
0.002317621,0.003001504,0.9999888,0.9998709
0.002603869,0.003,1,0.885505
0.002227359,0.003,1,0.9986238
0.002425303,0.003,1,1
0.002339781,0.003,1,1
0.002829877,0.004112671,1,0.5724316
0.002706691,0.003,1,0.7545322
0.002724773,0.0052226,1,0.4261663
0.002643825,0.003784572,1,0.7728805
0.002708945,0.003100478,1,0.8446024
0.002524008,0.003205009,1,0.8351893
0.002447217,0.00393925,1,0.7045493
0.00228423,0.003,1,0.9478892
0.002199174,0.003000016,0.9999979,0.9999851
0.00239645,0.003002616,0.9995382,0.9996667
0.002346797,0.003,1,0.9709349
0.002281031,0.003000079,0.999992,0.9999717
0.002539735,0.003070775,1,0.8271327
0.002245198,0.003000001,0.999999753,0.999999994
0.002295773,0.003021876,0.997104616,0.999759779
0.00264937,0.00325778,1,0.824612266
0.002446271,0.003,1,0.955859029
0.002348937,0.003,1,0.922244681
0.003,0.005516845,1,0.335477649
0.002724267,0.003,1,0.844164254
0.002274021,0.003000053,0.99999946,0.999991803
0.002566503,0.003928173,1,0.753500849
0.002254291,0.003,1,0.966888751
0.002424845,0.003,1,0.966484831
0.002415261,0.003,1,0.916064978
0.002399271,0.003000016,0.999996241,0.999999076
0.002399271,0.003,1,0.91712072
0.002261177,0.003,0.997509893,0.998826938
0.002464127,0.003,0.999999984,0.903764697
0.002321909,0.003000001,0.999999803,0.999998929
0.002866591,0.004387318,1,0.51492931
0.002175363,0.003000206,0.999993977,0.999974237
0.002714053,0.003,1,0.812846254
0.002354434,0.003,1,0.987065777
0.002360869,0.003000106,0.999997384,0.999997378
0.002803466,0.003,1,0.740566271
0.002177757,0.003000463,0.99947232,0.999672554
0.002383294,0.003,1,0.947055803
0.002485519,0.00300642,0.99953655,0.997878535
0.00236625,0.003000005,0.999999631,0.999997843
0.00261686,0.003,1,0.900050674
0.00254185,0.003,1,0.871832575
0.002222039,0.003,1,1
0.002696552,0.004157147,1,0.677010761
0.002286511,0.003201804,1,1
0.002800191,0.004702372,0.999999996,0.590054435
0.002558766,0.003,1,0.808387641
0.002268419,0.003,1,1
0.002579679,0.003,1,0.867467327
0.002603231,0.003,1,0.885594279
0.002553252,0.003,1,0.860939117
0.002428881,0.003,1,0.931615314
0.002492079,0.003000009,1,0.886600011
0.002349297,0.003000018,0.999999293,0.999986503
0.00235153,0.003,1,0.97157409
0.00244296,0.003,0.99999989,1
0.002214605,0.003,0.999999204,0.999994742
0.002582837,0.004118916,1,0.649914955
0.003,0.004881604,1,0.451502429
0.002321007,0.003001606,0.99961458,0.999677355
0.003,0.005038992,0.999999983,0.384937338
0.002648747,0.004860843,1,0.499177611
0.002576418,0.003,1,0.874183602
