datetime,Temp,DO_con,DO
8/6/12 0:00,26.5,7.8,103
8/20/12 0:00,23.6,7.9,98.9
9/4/12 0:00,24.8,7.9,101.1
10/1/12 0:00,17,10.2,112
10/29/12 0:00,11.8,8.7,85.3
11/29/12 0:00,6.2,11.5,98.6
2/12/13 0:00,0.3,15.4,112.7
4/29/13 0:00,6.2,16.3,139.7
5/14/13 0:00,12.2,13,128.6
5/28/13 0:00,14.5,11.2,116.6
6/10/13 0:00,20.9,10,118.8
6/24/13 0:00,22.1,11.7,142.3
7/8/13 0:00,24.6,6.6,84.2
7/22/13 0:00,26.2,9.1,119.5
8/5/13 0:00,22.6,7.5,92.1
8/21/13 0:00,24.2,8.7,110.1
9/4/13 0:00,24.1,7.5,94.7
9/30/13 0:00,19.3,8.3,95.5
10/29/13 0:00,11.5,8.9,86.6
