datetime,Measured,MeasuredWC,Modelled
2005-07-05,6.97,6.5,7
2005-08-03,7.17,7.22,6.84571628643895
2005-08-30,6.65,6.18,6.65971873111215
2005-09-27,6.88,7,6.51178313952446
2005-11-03,6.76,6.87,6.42279734873505
2006-04-19,5.08,5.11,6.40254893154895
2006-05-16,5.25,5.26,6.2407812054426
2006-06-13,5.93,5.57,6.25472063888939
2006-07-12,6.39,5.8,6.30345391377585
2006-08-08,5.45,5.76,6.2201555028109
2006-09-07,5.37,5.02,6.13394544748445
2006-10-04,5.63,5.28,6.09678976336828
2006-10-30,5.32,5.38,6.04806947048151
2006-12-11,5.41,5.34,5.85223404905069
2007-01-05,5.22,5.32,5.79492461193353
2007-02-26,5.12,5.34,5.69421895101832
2007-04-17,5.15,5.04,5.61262232716142
2007-05-21,5.28,5.14,5.51169090570524
2007-06-11,5.55,5.54,5.48311202885801
2007-07-09,5.56,5.46,5.44795026102005
2007-08-07,5.29,5.15,5.41295500888013
2007-09-04,5.26,5.18,5.40909571842782
2007-10-04,2.36,4.16,5.38364759436726
2007-10-29,5.26,5.38,5.38533399519642
2007-11-26,5.39,5.53,5.34757046621535
2008-03-03,5.29,6.12,5.34545432630357
2008-04-17,5.45,5.52,5.37124632143247
2008-07-08,5.81,5.43,5.35537587840128
2008-08-05,5.74,5.52,5.42323111903245
2008-09-29,5.62,5.57,5.40689758017385
2008-10-31,5.06,5.11,5.37306657887529
2009-02-05,5.78,5.37,5.59888614018139
2009-04-17,5.11,5.1,5.59973802372442
2009-05-11,4.57,4.77,5.51229609581997
2009-07-09,5.46,5.19,5.3123463909178
2009-08-04,5.36,5.2,5.31201976489038
2009-09-04,5.25,5.03,5.32639791353232
2009-10-30,5.57,5.61,5.37191061504469
2010-02-03,5.52,5.59,5.28125146766997
2010-04-12,6.38,5.64,5.56386838316429
2010-05-13,5.01,5.02,5.74870745847832
2010-06-09,5.58,5.67,5.63530560170631
2010-07-06,4.88,4.54,5.41626689668256
2010-08-04,4.82,4.71,5.07174597020553
2010-08-30,4.7,4.61,5.00812160951469
2010-10-08,4.71,4.96,5.07755841046431
2011-01-26,4.75,4.75,5.37183768299257
2011-04-21,4.54,4.4,5.18205404585073
2011-05-17,4.43,4.46,5.12398171824086
2011-06-14,5.06,4.86,5.01617422023073
2012-04-18,5.05,4.96,4.8096506390182
2012-06-12,5.53,5.18,4.74688253398683
2012-07-11,4.82,4.75,4.67402983967269
2012-08-07,5.38,4.92,4.63655699912503
2012-09-05,5.27,4.9,4.61156859868356
2012-10-02,5.55,5.27,4.67281139875339
2012-11-01,5.15,5.38,4.83817394588584
2013-05-08,6.77,6.52,5.37689407329391
2013-05-15,5.5,4.7,5.45775904490255
2013-06-11,4.47,4.69,5.44304277510809
2013-07-08,4.53,4.29,5.38078391931184
