lakeid,year4,daynum,sampledate,depth,rep,sta,event,wtemp,o2,o2sat,deck,light,frlight,flagdepth,flagwtemp,flago2,flago2sat,flagdeck,flaglight,flagfrlight
"MO",1995,129,1995-05-09,0.00,1,1,,11.30,10.8,104.6,,,,,,,,,,
"MO",1995,129,1995-05-09,1.00,1,1,,11.30,10.8,104.6,,,,,,,,,,
"MO",1995,129,1995-05-09,2.00,1,1,,11.30,10.8,104.6,,,,,,,,,,
"MO",1995,129,1995-05-09,3.00,1,1,,11.30,10.7,103.7,,,,,,,,,,
"MO",1995,129,1995-05-09,4.00,1,1,,11.20,10.7,103.4,,,,,,,,,,
"MO",1995,129,1995-05-09,5.00,1,1,,11.00,10.6,102.0,,,,,,,,,,
"MO",1995,129,1995-05-09,6.00,1,1,,10.50,10.6,100.8,,,,,,,,,,
"MO",1995,129,1995-05-09,7.00,1,1,,10.40,10.6,100.6,,,,,,,,,,
"MO",1995,129,1995-05-09,8.00,1,1,,10.20,10.5,99.2,,,,,,,,,,
"MO",1995,129,1995-05-09,9.00,1,1,,9.80,10.4,97.3,,,,,,,,,,
"MO",1995,129,1995-05-09,10.00,1,1,,9.50,10.4,96.6,,,,,,,,,,
"MO",1995,129,1995-05-09,11.00,1,1,,9.40,10.4,96.4,,,,,,,,,,
"MO",1995,129,1995-05-09,12.00,1,1,,9.40,10.3,95.5,,,,,,,,,,
"MO",1995,129,1995-05-09,13.00,1,1,,9.20,10.3,95.0,,,,,,,,,,
"MO",1995,129,1995-05-09,14.00,1,1,,9.00,10.2,93.6,,,,,,,,,,
"MO",1995,129,1995-05-09,15.00,1,1,,9.00,10.2,93.6,,,,,,,,,,
"MO",1995,129,1995-05-09,16.00,1,1,,8.90,10.1,92.5,,,,,,,,,,
"MO",1995,129,1995-05-09,17.00,1,1,,8.90,10.0,91.6,,,,,,,,,,
"MO",1995,129,1995-05-09,18.00,1,1,,8.80,9.7,88.6,,,,,,,,,,
"MO",1995,143,1995-05-23,0.00,1,1,,15.30,9.6,101.7,,,,,,,,,,
"MO",1995,143,1995-05-23,1.00,1,1,,,9.5,,,,,,,,,,,
"MO",1995,143,1995-05-23,2.00,1,1,,15.40,9.3,98.7,,,,,,,,,,
"MO",1995,143,1995-05-23,3.00,1,1,,15.40,9.7,102.9,,,,,,,,,,
"MO",1995,143,1995-05-23,4.00,1,1,,15.30,9.6,101.7,,,,,,,,,,
"MO",1995,143,1995-05-23,5.00,1,1,,15.00,9.4,98.9,,,,,,,,,,
"MO",1995,143,1995-05-23,6.00,1,1,,14.90,9.3,97.6,,,,,,,,,,
"MO",1995,143,1995-05-23,7.00,1,1,,14.90,9.2,96.6,,,,,,,,,,
"MO",1995,143,1995-05-23,8.00,1,1,,14.90,9.2,96.6,,,,,,,,,,
"MO",1995,143,1995-05-23,9.00,1,1,,14.60,8.9,92.8,,,,,,,,,,
"MO",1995,143,1995-05-23,10.00,1,1,,13.40,8.5,86.4,,,,,,,,,,
"MO",1995,143,1995-05-23,11.00,1,1,,12.00,7.9,77.8,,,,,,,,,,
"MO",1995,143,1995-05-23,12.00,1,1,,11.80,7.6,74.5,,,,,,,,,,
"MO",1995,143,1995-05-23,13.00,1,1,,11.50,6.6,64.2,,,,,,,,,,
"MO",1995,143,1995-05-23,14.00,1,1,,10.80,5.6,53.6,,,,,,,,,,
"MO",1995,143,1995-05-23,15.00,1,1,,10.30,4.2,39.8,,,,,,,,,,
"MO",1995,143,1995-05-23,16.00,1,1,,10.30,3.7,35.0,,,,,,,,,,
"MO",1995,143,1995-05-23,17.00,1,1,,10.20,3.3,31.2,,,,,,,,,,
