"","Date","Source","Sink","Pipe","Net"
"1",2001-07-04,158398.632656743,108301.5,1067554.4983358,-50097.1326567434
"2",2001-07-05,3906.75519378181,105069.851538063,1092115.52997766,101163.096344281
"3",2001-07-06,-112642.100261538,102136.37756144,1136251.70797955,214778.477822979
"4",2001-07-07,-322955.940606837,99525.6890277673,1391979.76357914,422481.629634605
"5",2001-07-08,-167257.852807816,97215.8205358418,1276315.94142904,264473.673343658
"6",2001-07-09,-25513.578780229,94799.5335157317,1148536.23735765,120313.112295961
"7",2001-07-10,49959.7025682683,92303.5686445172,1093286.82084671,42343.8660762489
"8",2001-07-11,47987.7618708642,89784.2425179455,1072574.86629553,41796.4806470813
"9",2001-07-12,57544.099452954,87360.603062793,1068130.35098312,29816.503609839
"10",2001-07-13,71552.6920052014,85043.1329506582,1085033.02571431,13490.4409454568
"11",2001-07-14,78616.9307261317,82836.8133673652,1094823.05235223,4219.88264123356
"12",2001-07-15,90274.1042502021,80733.8382680886,1103537.4316168,-9540.26598211347
"13",2001-07-16,107090.765540498,78729.2469499437,1091273.83966177,-28361.5185905542
"14",2001-07-17,125046.605296964,76805.6646280214,1084300.44641776,-48240.9406689427
"15",2001-07-18,136306.009620467,74961.6006892178,1092688.13828363,-61344.4089312493
"16",2001-07-19,165229.254595788,73203.4845759902,1112330.49866174,-92025.7700197981
"17",2001-07-20,174491.496302547,71491.1127302075,1121012.92168615,-103000.383572339
"18",2001-07-21,172330.490471963,69815.3170028434,1108811.00513238,-102515.17346912
"19",2001-07-22,141420.961367698,68227.0900173662,1091315.34601503,-73193.8713503322
"20",2001-07-23,141274.40010366,66718.2086741112,1089555.63468245,-74556.191429549
"21",2001-07-24,100231.432732207,65296.7438240738,1151242.36554438,-34934.688908133
"22",2001-07-25,-89961.280286296,63992.9918424288,1249305.73323804,153954.272128725
"23",2001-07-26,-135744.886013225,63055.2306085187,1288861.53200287,198800.116621744
"24",2001-07-27,-33078.7032450889,62253.1506907151,1213400.04400356,95331.853935804
"25",2001-07-28,-28079.2747074091,61306.3280583771,1159882.96221264,89385.6027657862
"26",2001-07-29,-163971.754861758,60386.3295489768,1263246.6418005,224358.084410734
"27",2001-07-30,-493585.016885273,59684.0711329653,1653074.78776024,553269.088018238
"28",2001-07-31,-281003.307838505,59664.6498523587,1545908.59302862,340667.957690863
"29",2001-08-01,-56465.5282214256,59273.5515305054,1366796.9171379,115739.079751931
"30",2001-08-02,-42453.617415051,58512.614890869,1306749.81682288,100966.23230592
"31",2001-08-03,-102606.074269897,57733.8028004503,1367184.39637164,160339.877070348
"32",2001-08-04,-138558.911544452,57063.0484087079,1465971.44350859,195621.95995316
"33",2001-08-05,-94644.3844766249,56536.5106256806,1375171.91155527,151180.895102305
"34",2001-08-06,-61942.7298548981,55943.9076009333,1295906.80973183,117886.637455831
"35",2001-08-07,-31797.7241276044,55300.0621402553,1226158.14933719,87097.7862678597
"36",2001-08-08,-2608.1347386986,54616.5896854577,1163515.71665848,57224.7244241563
"37",2001-08-09,-11803.8953378024,53901.9397344737,1130182.34562556,65705.835072276
"38",2001-08-10,-42205.2040217274,53213.9790082797,1130891.98938474,95419.1830300071
"39",2001-08-11,-109149.862868002,52590.2892638026,1222415.36368019,161740.152131805
"40",2001-08-12,-136030.116662443,52138.6094618867,1244952.82211267,188168.72612433
"41",2001-08-13,-138348.608301349,51766.4090447455,1221195.84396391,190115.017346094
"42",2001-08-14,-231274.733537499,51407.876071819,1318034.72204552,282682.609609318
"43",2001-08-15,-620990.73594433,51205.3632664696,1928204.0421259,672196.0992108
"44",2001-08-16,-676396.335613423,51863.2630821965,2083079.46919636,728259.598695619
"45",2001-08-17,-449448.730256796,52680.6163693187,1778210.60549518,502129.346626115
"46",2001-08-18,-286226.857410285,53019.1779648599,1545900.52833146,339246.035375145
"47",2001-08-19,-181324.791641848,53022.9834241887,1385702.08179892,234347.775066037
"48",2001-08-20,-112965.43740115,52813.4446762316,1279568.19102883,165778.882077382
"49",2001-08-21,-76103.8421880039,52475.5096488591,1216856.61365108,128579.351836863
"50",2001-08-22,-56301.5594309641,52074.1348687431,1179939.32451427,108375.694299707
"51",2001-08-23,-46932.7998301759,51647.116298354,1158942.92507022,98579.91612853
"52",2001-08-24,-45533.4377906814,51217.2834370809,1145512.97044892,96750.7212277622
"53",2001-08-25,-47193.2670989265,50795.0607526343,1142847.53340584,97988.3278515608
"54",2001-08-26,-50308.946094783,50395.1970929146,1140219.73786716,100704.143187698
"55",2001-08-27,-49551.5967447683,50016.6271843723,1137660.02186672,99568.2239291406
"56",2001-08-28,-51815.8152502168,49658.3355970707,1135086.06920355,101474.150847287
"57",2001-08-29,-54010.2870019954,49319.3543677709,1132561.51448715,103329.641369766
"58",2001-08-30,-56136.9056153097,48998.7607381875,1130084.46410266,105135.666353497
"59",2001-08-31,-58954.425333631,48695.6750027466,1127653.08380699,107650.100336378
"60",2001-09-01,-60178.0311741747,48409.258460463,1125281.42858328,108587.289634638
"61",2001-09-02,-62112.2349964248,48138.7114658217,1122935.7465724,110250.946462246
"62",2001-09-03,-63985.576987881,47883.2715738024,1120630.57758721,111868.848561683
"63",2001-09-04,-65799.6735086134,47642.2117744306,1118364.30526802,113441.885283044
"64",2001-09-05,-67556.0908699702,47414.8388124655,1116135.36330382,114970.929682436
"65",2001-09-06,-69256.3470002229,47200.4915880561,1113942.23376672,116456.838588279
"66",2001-09-07,-71658.8330495055,46998.5396344024,1111783.44550693,118657.372683908
"67",2001-09-08,-86103.1970708533,46808.3816686553,1109673.15047178,132911.578739509
"68",2001-09-09,-73739.6643724493,46629.4442124782,1107858.20335345,120369.108584927
