datetime,Temp,DO_con,depth
6/17/2005 0:00,10.66,10.29,0.5
6/24/2005 0:00,10.91,13.96,0
7/1/2005 0:00,15.2,12.37,
7/8/2005 0:00,11.08,10.34,
7/15/2005 0:00,12.45,9.55,
7/22/2005 0:00,12.82,10.04,
7/29/2005 0:00,14.07,9.25,
8/5/2005 0:00,13.33,9.14,
8/12/2005 0:00,12.94,9.81,
8/18/2005 0:00,13.2,9.79,
8/22/2005 0:00,12.39,10.22,
6/23/2006 0:00,7.6,10.79,
6/30/2006 0:00,10.9,10.11,
7/7/2006 0:00,11.01,10.43,
7/14/2006 0:00,12.91,9.93,
7/21/2006 0:00,12.12,10.12,
7/28/2006 0:00,13.88,9.87,
8/4/2006 0:00,13.51,9.99,
8/8/2006 0:00,12.86,9.11,
8/18/2006 0:00,10.58,10.85,
8/25/2006 0:00,8.77,9.64,
8/28/2006 0:00,8.29,9.5,
8/30/2006 0:00,8.05,9.98,
6/22/2007 0:00,,,
6/29/2007 0:00,,,
7/6/2007 0:00,,,
7/13/2007 0:00,,,
7/20/2007 0:00,,,
7/27/2007 0:00,,,
8/3/2007 0:00,,,
8/10/2007 0:00,,,
8/17/2007 0:00,,,
8/23/2007 0:00,,,
9/19/2007 0:00,,,
9/28/2007 0:00,,,
6/20/2008 0:00,,,
6/27/2008 0:00,,,
7/4/2008 0:00,,,
7/11/2008 0:00,,,
7/18/2008 0:00,,,
7/25/2008 0:00,,,
8/1/2008 0:00,,,
8/8/2008 0:00,,,
8/15/2008 0:00,,,
8/22/2008 0:00,,,
9/5/2008 0:00,,,
9/15/2008 0:00,,,
