Date_Time,Water_Temp_C,Conductivity_uScm,Q_m3sec
06/21/04 12:30,15,51.0,0.059
06/21/04 13:00,14.7,51.0,0.059
06/21/04 13:30,14.8,52.0,0.059
06/21/04 14:00,15,52.0,0.059
06/21/04 14:30,15.2,52.0,0.059
06/21/04 15:00,14.9,52.0,0.059
06/21/04 15:30,14.5,52.0,0.059
06/21/04 16:00,14.6,52.0,0.059
06/21/04 16:30,14.8,52.0,0.059
06/21/04 17:00,15.1,52.0,0.059
06/21/04 17:30,15,52.0,0.059
06/21/04 18:00,15,52.0,0.059
06/21/04 18:30,15,52.0,0.059
06/21/04 19:00,15.1,52.0,0.059
06/21/04 19:30,14.8,52.0,0.059
06/21/04 20:00,14.3,53.0,0.058
06/21/04 20:30,13.8,53.0,0.058
06/21/04 21:00,13.5,53.0,0.058
06/21/04 21:30,13.2,53.0,0.058
06/21/04 22:00,13.1,53.0,0.058
06/21/04 22:30,12.8,53.0,0.058
06/21/04 23:00,12.6,53.0,0.058
06/21/04 23:30,12.3,53.0,0.058
06/22/04 00:00,12,53.0,0.058
06/22/04 00:30,11.8,53.0,0.058
06/22/04 01:00,11.6,53.0,0.058
06/22/04 01:30,11.4,52.0,0.058
06/22/04 02:00,11.2,52.0,0.058
06/22/04 02:30,11,52.0,0.058
06/22/04 03:00,10.9,52.0,0.058
06/22/04 03:30,10.8,52.0,0.058
06/22/04 04:00,10.8,52.0,0.058
06/22/04 04:30,10.8,52.0,0.058
06/22/04 05:00,10.8,52.0,0.058
06/22/04 05:30,10.9,52.0,0.058
06/22/04 06:00,10.9,52.0,0.058
06/22/04 06:30,11.2,51.0,0.058
06/22/04 07:00,11.5,51.0,0.058
06/22/04 07:30,11.9,51.0,0.058
06/22/04 08:00,12.2,51.0,0.058
06/22/04 08:30,12.4,52.0,0.058
06/22/04 09:00,12.6,52.0,0.058
06/22/04 09:30,12.9,52.0,0.058
06/22/04 10:00,13.1,52.0,0.058
06/22/04 10:30,13.4,52.0,0.058
06/22/04 11:00,13.6,52.0,0.058
06/22/04 11:30,13.8,52.0,0.058
06/22/04 12:00,13.8,52.0,0.058
06/22/04 12:30,13.6,52.0,0.058
06/22/04 13:00,13.5,52.0,0.058
06/22/04 13:30,13.5,52.0,0.058
06/22/04 14:00,13.6,52.0,0.058
06/22/04 14:30,13.6,52.0,0.058
06/22/04 15:00,13.5,53.0,0.058
06/22/04 15:30,13.6,53.0,0.058
06/22/04 16:00,14,53.0,0.058
06/22/04 16:30,14.1,53.0,0.058
06/22/04 17:00,14,53.0,0.058
06/22/04 17:30,14.1,53.0,0.058
06/22/04 18:00,14.1,53.0,0.058
06/22/04 18:30,13.8,53.0,0.058
06/22/04 19:00,13.5,53.0,0.058
06/22/04 19:30,13.4,53.0,0.058
06/22/04 20:00,13.6,53.0,0.058
06/22/04 20:30,13.6,53.0,0.058
06/22/04 21:00,13.5,53.0,0.058
06/22/04 21:30,13.2,53.0,0.058
06/22/04 22:00,12.9,53.0,0.058
06/22/04 22:30,12.6,54.0,0.058
06/22/04 23:00,12.3,54.0,0.058
06/22/04 23:30,11.9,54.0,0.058
06/23/04 00:00,11.7,54.0,0.058
06/23/04 00:30,11.4,54.0,0.058
06/23/04 01:00,11.1,54.0,0.058
06/23/04 01:30,10.8,54.0,0.057
06/23/04 02:00,10.6,54.0,0.057
06/23/04 02:30,10.5,54.0,0.057
06/23/04 03:00,10.3,54.0,0.057
06/23/04 03:30,10.2,53.0,0.057
06/23/04 04:00,10.2,53.0,0.057
06/23/04 04:30,10.2,53.0,0.057
06/23/04 05:00,10.3,53.0,0.057
06/23/04 05:30,10.5,53.0,0.057
06/23/04 06:00,10.8,53.0,0.057
06/23/04 06:30,11.1,53.0,0.057
06/23/04 07:00,11.2,53.0,0.057
06/23/04 07:30,11.3,53.0,0.057
06/23/04 08:00,11.4,53.0,0.057
06/23/04 08:30,11.6,53.0,0.057
06/23/04 09:00,12.2,53.0,0.057
06/23/04 09:30,12.4,53.0,0.057
06/23/04 10:00,12.9,53.0,0.057
06/23/04 10:30,13.3,53.0,0.057
06/23/04 11:00,13.6,54.0,0.057
06/23/04 11:30,13.8,54.0,0.057
06/23/04 12:00,14.2,54.0,0.057
06/23/04 12:30,14.3,54.0,0.057
06/23/04 13:00,14.2,54.0,0.057
06/23/04 13:30,14.3,54.0,0.057
06/23/04 14:00,14.8,54.0,0.057
06/23/04 14:30,14.9,54.0,0.057
06/23/04 15:00,14.6,54.0,0.057
06/23/04 15:30,14.3,54.0,0.057
06/23/04 16:00,14.1,54.0,0.057
06/23/04 16:30,13.8,54.0,0.057
06/23/04 17:00,13.9,54.0,0.057
06/23/04 17:30,13.9,54.0,0.057
06/23/04 18:00,13.8,54.0,0.057
06/23/04 18:30,13.9,54.0,0.057
06/23/04 19:00,13.9,54.0,0.057
06/23/04 19:30,13.9,54.0,0.057
06/23/04 20:00,13.8,54.0,0.057
06/23/04 20:30,13.6,54.0,0.057
06/23/04 21:00,13.4,54.0,0.057
06/23/04 21:30,13.2,54.0,0.057
06/23/04 22:00,13,54.0,0.057
06/23/04 22:30,12.8,54.0,0.057
06/23/04 23:00,12.6,54.0,0.057
06/23/04 23:30,12.5,54.0,0.057
06/24/04 00:00,12.3,55.0,0.057
06/24/04 00:30,12.2,55.0,0.057
06/24/04 01:00,12.1,55.0,0.057
06/24/04 01:30,11.9,55.0,0.057
06/24/04 02:00,11.8,55.0,0.057
06/24/04 02:30,11.7,55.0,0.057
06/24/04 03:00,11.7,54.0,0.057
06/24/04 03:30,11.7,54.0,0.057
06/24/04 04:00,11.6,54.0,0.057
06/24/04 04:30,11.5,54.0,0.057
06/24/04 05:00,11.4,54.0,0.057
06/24/04 05:30,11.5,54.0,0.057
06/24/04 06:00,11.7,54.0,0.057
06/24/04 06:30,11.8,54.0,0.057
06/24/04 07:00,12,54.0,0.056
06/24/04 07:30,12.2,54.0,0.056
06/24/04 08:00,12.6,55.0,0.056
06/24/04 08:30,12.9,55.0,0.056
06/24/04 09:00,13.3,55.0,0.056
06/24/04 09:30,13.6,55.0,0.056
06/24/04 10:00,14.1,55.0,0.056
06/24/04 10:30,14.6,55.0,0.056
06/24/04 11:00,14.4,55.0,0.056
06/24/04 11:30,15,55.0,0.056
06/24/04 12:00,15.5,55.0,0.056
06/24/04 12:30,15.5,55.0,0.056
06/24/04 13:00,15.2,56.0,0.056
06/24/04 13:30,15,56.0,0.056
06/24/04 14:00,14.9,56.0,0.056
06/24/04 14:30,15.5,56.0,0.056
06/24/04 15:00,15.4,55.0,0.056
06/24/04 15:30,15.3,55.0,0.056
06/24/04 16:00,15.5,55.0,0.056
06/24/04 16:30,15.2,55.0,0.056
06/24/04 17:00,14.9,55.0,0.056
06/24/04 17:30,14.6,55.0,0.056
06/24/04 18:00,14.4,55.0,0.056
06/24/04 18:30,14.2,55.0,0.056
06/24/04 19:00,14.1,55.0,0.056
06/24/04 19:30,13.9,55.0,0.056
06/24/04 20:00,13.8,55.0,0.056
06/24/04 20:30,13.6,55.0,0.056
06/24/04 21:00,13.5,55.0,0.056
06/24/04 21:30,13.4,55.0,0.056
06/24/04 22:00,13.3,55.0,0.056
06/24/04 22:30,13.2,55.0,0.056
06/24/04 23:00,13,56.0,0.056
06/24/04 23:30,12.8,56.0,0.056
06/25/04 00:00,12.7,56.0,0.056
06/25/04 00:30,12.6,56.0,0.056
06/25/04 01:00,12.5,56.0,0.056
06/25/04 01:30,12.4,56.0,0.056
06/25/04 02:00,12.3,56.0,0.056
06/25/04 02:30,12.2,56.0,0.056
06/25/04 03:00,12.1,56.0,0.056
06/25/04 03:30,12.1,56.0,0.056
06/25/04 04:00,12.1,56.0,0.056
06/25/04 04:30,12,56.0,0.056
06/25/04 05:00,12,56.0,0.056
06/25/04 05:30,12,55.0,0.056
06/25/04 06:00,12.1,55.0,0.056
06/25/04 06:30,12.1,55.0,0.056
06/25/04 07:00,12.2,55.0,0.056
06/25/04 07:30,12.2,55.0,0.056
06/25/04 08:00,12.2,55.0,0.056
06/25/04 08:30,12.2,56.0,0.056
06/25/04 09:00,12.2,56.0,0.056
06/25/04 09:30,12.2,56.0,0.056
06/25/04 10:00,12.3,56.0,0.056
06/25/04 10:30,12.4,56.0,0.056
06/25/04 11:00,12.5,56.0,0.056
06/25/04 11:30,12.9,56.0,0.056
06/25/04 12:00,13.6,56.0,0.056
06/25/04 12:30,14.3,56.0,0.055
06/25/04 13:00,14.7,56.0,0.055
06/25/04 13:30,15,56.0,0.055
06/25/04 14:00,15,57.0,0.055
06/25/04 14:30,14.9,57.0,0.055
06/25/04 15:00,14.6,58.0,0.055
06/25/04 15:30,14.2,58.0,0.055
06/25/04 16:00,14,58.0,0.055
06/25/04 16:30,13.8,57.0,0.055
06/25/04 17:00,13.5,57.0,0.055
06/25/04 17:30,13.4,57.0,0.055
06/25/04 18:00,13.3,57.0,0.055
06/25/04 18:30,13.1,57.0,0.055
06/25/04 19:00,12.9,57.0,0.055
06/25/04 19:30,12.8,57.0,0.055
06/25/04 20:00,12.6,57.0,0.055
06/25/04 20:30,12.5,57.0,0.054
06/25/04 21:00,12.4,57.0,0.054
06/25/04 21:30,12.3,57.0,0.054
06/25/04 22:00,12.2,57.0,0.054
06/25/04 22:30,12.1,57.0,0.054
06/25/04 23:00,12,57.0,0.054
06/25/04 23:30,11.9,57.0,0.054
06/26/04 00:00,11.8,57.0,0.054
06/26/04 00:30,11.7,57.0,0.054
06/26/04 01:00,11.5,57.0,0.054
06/26/04 01:30,11.4,57.0,0.054
06/26/04 02:00,11.2,57.0,0.054
06/26/04 02:30,11,56.0,0.054
06/26/04 03:00,10.9,56.0,0.054
06/26/04 03:30,10.8,56.0,0.054
06/26/04 04:00,10.7,56.0,0.053
06/26/04 04:30,10.6,57.0,0.053
06/26/04 05:00,10.6,57.0,0.053
06/26/04 05:30,10.6,57.0,0.053
06/26/04 06:00,10.5,56.0,0.053
06/26/04 06:30,10.5,56.0,0.053
06/26/04 07:00,10.4,56.0,0.053
06/26/04 07:30,10.3,56.0,0.053
06/26/04 08:00,10.4,56.0,0.053
06/26/04 08:30,10.6,56.0,0.053
06/26/04 09:00,10.7,56.0,0.053
06/26/04 09:30,10.7,56.0,0.053
06/26/04 10:00,10.8,56.0,0.053
06/26/04 10:30,11.1,56.0,0.053
06/26/04 11:00,11.1,56.0,0.052
06/26/04 11:30,11.6,56.0,0.052
