datetime,DOC,DOCwc,Modelled
2004-05-26,2.87,2.74,2.97183251207021
2004-06-23,2.98,2.85,3.20909422105433
2004-07-20,3.26,2.93,3.13179949825437
2004-08-19,3,2.75,2.97559815237046
2004-09-21,2.97,2.65,3.05944325463742
2004-10-14,3.05,2.71,3.01868883615075
2004-11-10,2.73,2.77,3.03892831877742
2005-01-21,2.49,2.42,2.98295423714558
2005-03-03,3.05,2.92,2.88255051544337
2005-04-05,2.63,2.73,2.83825036941944
2005-04-21,2.63,2.65,2.86877717748458
2005-05-17,2.93,2.78,3.14515817072214
2005-06-16,3.27,3.53,3.31822760064235
2005-07-13,3.38,3.06,3.2020985867789
2005-08-11,3.12,2.89,2.96599001355664
2005-09-07,3.15,2.91,2.83658474378072
2005-10-07,3.2,2.92,2.82851992877225
2005-11-14,2.88,2.89,2.84286294891331
2006-01-20,2.66,2.45,2.76983309862421
2006-02-14,2.81,2.68,2.74934888112615
2006-04-05,0.79,1.76,2.73121759662543
2006-04-21,2.58,2.59,2.7868811069279
2006-05-17,2.44,2.48,3.01951169899257
2006-07-10,3.6,2.99,3.03864019930929
2006-08-08,3.5,3.04,2.8601818831729
2006-09-06,3.01,2.63,2.7728701536916
2006-10-03,3.19,2.7,2.74887085293757
2006-10-30,2.83,2.81,2.77236552345925
2007-01-18,2.51,2.35,2.79483792370804
2007-02-26,2.71,2.43,2.72166718194344
2007-03-29,2.56,2.51,2.68028452578189
2007-04-26,2.73,2.66,2.7959880047509
2007-05-23,2.79,2.79,3.02518935120693
2007-06-20,2.55,2.62,3.04372403036729
2007-07-17,3,2.8,2.85931009943441
2007-08-14,2.98,2.76,2.65856566942473
2007-09-12,2.91,2.67,2.6232759630764
2007-10-11,2.72,2.69,2.65439441160179
2007-11-13,2.63,2.7,2.61972794565404
2008-02-01,2.9,2.84,2.44911771136337
2008-02-27,2.84,2.85,2.41327080658002
2008-03-28,2.8,2.75,2.37557091817697
2008-05-12,3.2,3.17,2.53295983423484
2008-06-04,2.91,2.81,2.68952993678445
2008-07-03,2.82,2.77,2.77657191980249
2008-07-31,3.1,2.99,2.66700146698968
2008-08-27,3.37,3.18,2.547357607592
2008-09-25,3.02,2.73,2.47074196754073
2008-10-23,2.67,2.58,2.45427011040992
2008-11-11,2.78,2.85,2.45828673089811
2009-01-19,3.35,3.37,2.42827366240339
2009-02-16,2.77,2.76,2.39079937924362
2009-03-23,1.44,2.51,2.35184228971548
2009-04-30,2.88,2.89,2.41511605520774
2009-05-28,2.61,2.66,2.65098392138169
2009-06-24,2.92,3.13,2.69021524362423
2009-07-20,3.37,3.12,2.5662600724098
2009-08-18,2.83,2.82,2.44550678138655
2009-09-15,2.83,2.65,2.36409846065173
2009-10-13,2.77,2.58,2.31693145415031
2009-11-10,2.89,2.84,2.39664015320798
2010-01-13,2.71,3,2.51543848938339
2010-02-10,2.93,2.82,2.44900964999744
2010-05-13,1.3,1.55,2.58055939088147
2010-06-09,2.6,2.47,2.52124501333728
2010-07-07,3.21,2.95,2.43927428766377
2010-08-04,2.49,2.37,2.41756550947357
2010-09-02,2.62,2.45,2.43812312268397
2010-09-29,2.47,2.36,2.49482382942567
2011-02-16,2.5,2.3,2.71056999244352
2011-03-17,1.51,2.2,2.68252179133657
2011-05-04,2.29,2.35,2.77555685428993
2011-06-02,2.52,2.45,3.02269526155622
2011-06-29,2.3,2.21,3.0665391907609
2011-08-25,2.55,2.38,2.87201322310712
2012-01-16,2.84,2.71,2.86916570975923
2012-02-22,2.45,2.42,2.80950107918571
2012-04-04,2.57,2.56,2.83928187133043
2012-05-01,2.75,2.61,3.02113377188001
2012-05-31,2.54,2.52,3.26641380907696
2012-06-25,2.84,2.69,3.19459690160916
2012-07-24,3.05,2.8,2.92932298968055
2012-08-21,2.78,2.57,2.75006373251349
2012-09-21,2.81,2.64,2.62427654604204
2012-10-16,2.75,2.55,2.58316953647801
2012-11-09,2.83,2.88,2.58940397421971
2013-01-15,2.73,2.61,2.55435466684706
2013-02-21,2.37,2.37,2.5164453660959
2013-05-16,2.37,2.25,2.67305858952475
2013-06-12,2.62,2.46,2.98925498974626
2013-07-09,2.71,2.77,3.15513265584739
2013-08-06,2.84,2.66,3.22547286176947
2013-09-05,3.42,3.2,3.18694756937891
2013-10-02,2.23,2.27,3.17200369221375
2013-10-30,2.53,2.4,3.16515671403296
2013-11-14,3.13,3.2,3.17525073613325
