datetime,wtemp
2004-05-21,6.998
2004-05-22,6.928
2004-05-23,6.766
2004-05-24,6.872
2004-05-25,6.974
2004-05-26,6.85555555555556
2004-05-27,7.048
2004-05-28,7.03
2004-05-29,7.05
2004-05-30,7.188
2004-05-31,7.094
2004-06-01,7.228
2004-06-02,7.152
2004-06-03,7.174
2004-06-04,7.056
2004-06-05,7.276
2004-06-06,7.18
2004-06-07,7.394
2004-06-08,7.434
2004-06-09,7.506
2004-06-10,7.40555555555556
2004-06-11,7.15
2004-06-12,7.426
2004-06-13,7.212
2004-06-14,7.34
2004-06-15,7.418
2004-06-16,7.274
2004-06-17,7.352
2004-06-18,7.422
2004-06-19,7.364
2004-06-20,7.502
2004-06-21,7.464
2004-06-22,7.482
2004-06-23,7.53888888888889
2004-06-24,7.394
2004-06-25,7.538
2004-06-26,7.524
2004-06-27,7.576
2004-06-28,7.554
2004-06-29,7.468
2004-06-30,7.486
2004-07-01,7.48
2004-07-02,7.508
2004-07-03,7.552
2004-07-04,7.51
2004-07-05,7.58
2004-07-06,7.592
2004-07-07,7.552
2004-07-08,6.78888888888889
2004-07-09,7.514
2004-07-10,7.616
2004-07-11,7.518
2004-07-12,7.53
2004-07-13,7.78
2004-07-14,7.636
2004-07-15,7.656
2004-07-16,7.644
2004-07-17,7.632
2004-07-18,7.572
2004-07-19,7.576
2004-07-20,7.61666666666667
2004-07-21,7.59
2004-07-22,7.572
2004-07-23,7.498
2004-07-24,7.6
2004-07-25,7.648
2004-07-26,7.59
2004-07-27,7.594
2004-07-28,7.584
2004-07-29,7.598
2004-07-30,7.664
2004-07-31,7.566
2004-08-01,7.624
2004-08-02,7.594
2004-08-03,7.662
2004-08-04,7.61111111111111
2004-08-05,7.612
2004-08-06,7.602
2004-08-07,7.654
2004-08-08,7.662
2004-08-09,7.632
2004-08-10,7.3425
2004-08-11,7.614
2004-08-12,7.566
2004-08-13,7.656
2004-08-14,7.654
2004-08-15,7.648
2004-08-16,7.698
2004-08-17,7.674
2004-08-18,7.542
2004-08-19,7.81111111111111
2004-08-20,7.686
2004-08-21,7.68
2004-08-22,7.656
2004-08-23,7.762
2004-08-24,7.742
2004-08-25,7.738
2004-08-26,7.7
2004-08-27,7.796
2004-08-28,7.694
2004-08-29,7.688
2004-08-30,7.66
2004-08-31,7.676
2004-09-01,7.722
2004-09-02,7.68333333333333
2004-09-03,7.782
2004-09-04,7.69
2004-09-05,7.702
2004-09-06,7.762
2004-09-07,7.12
2004-09-08,7.77
2004-09-09,7.722
2004-09-10,7.758
2004-09-11,7.686
2004-09-12,7.684
2004-09-13,7.892
2004-09-14,7.848
2004-09-15,7.71
2004-09-16,7.7925
2004-09-17,7.83
2004-09-18,7.764
2004-09-19,7.836
2004-09-20,7.932
2004-09-21,8.02352941176471
2004-09-22,7.83
2004-09-23,7.485
2004-09-24,7.846
2004-09-25,7.93
2004-09-26,7.892
2004-09-27,7.826
2004-09-28,7.9
2004-09-29,7.868
2004-09-30,7.92941176470588
2004-10-01,7.958
2004-10-02,7.996
2004-10-03,8.054
2004-10-04,8.386
2004-10-05,8.332
2004-10-06,8.716
2004-10-07,8.844
2004-10-08,8.922
2004-10-09,8.666
2004-10-10,8.718
2004-10-11,8.668
2004-10-12,NA
2004-10-13,NA
2004-10-14,8.51176470588235
2004-10-15,NA
2004-10-16,NA
2004-10-17,NA
2004-10-18,NA
2004-10-19,NA
2004-10-20,NA
2004-10-21,NA
2004-10-22,NA
2004-10-23,NA
2004-10-24,NA
2004-10-25,8.742
2004-10-26,8.718
2004-10-27,8.648
2004-10-28,8.86470588235294
2004-10-29,NA
2004-10-30,NA
2004-10-31,NA
2004-11-01,NA
2004-11-02,NA
2004-11-03,NA
2004-11-04,NA
2004-11-05,NA
2004-11-06,NA
2004-11-07,NA
2004-11-08,NA
2004-11-09,NA
2004-11-10,8.08235294117647
2004-11-11,NA
2004-11-12,NA
2004-11-13,NA
2004-11-14,NA
2004-11-15,NA
2004-11-16,NA
2004-11-17,NA
2004-11-18,NA
2004-11-19,NA
2004-11-20,NA
2004-11-21,NA
2004-11-22,NA
2004-11-23,NA
2004-11-24,NA
2004-11-25,NA
2004-11-26,NA
2004-11-27,NA
2004-11-28,NA
2004-11-29,NA
2004-11-30,NA
2004-12-01,NA
2004-12-02,NA
2004-12-03,NA
2004-12-04,NA
2004-12-05,NA
2004-12-06,NA
2004-12-07,NA
2004-12-08,NA
2004-12-09,NA
2004-12-10,NA
2004-12-11,NA
2004-12-12,NA
2004-12-13,NA
2004-12-14,NA
2004-12-15,NA
2004-12-16,NA
2004-12-17,NA
2004-12-18,NA
2004-12-19,NA
2004-12-20,NA
2004-12-21,NA
2004-12-22,NA
2004-12-23,NA
2004-12-24,NA
2004-12-25,NA
2004-12-26,NA
2004-12-27,NA
2004-12-28,NA
2004-12-29,NA
2004-12-30,NA
2004-12-31,NA
2005-01-01,NA
2005-01-02,NA
2005-01-03,NA
2005-01-04,NA
2005-01-05,NA
2005-01-06,NA
2005-01-07,NA
2005-01-08,NA
