year4,start_daynum,end_daynum,duration,med_daynum,med_date,trap,size_fraction,mass_flux,particle_mass_mg,particle_mass_conc_mg_per_l,volume_l,ratio_n,ratio_c,ratio_p,flux_n,flux_c,flux_p,comments
2004,119,147,28,133,5/12/2004,1,<210,1432.74,,1862.05,,,,,,,,
2004,119,147,28,133,5/12/2004,1,>210,114.09,,495.12,,,,,,,,
2004,119,147,28,133,5/12/2004,1,CYL,163.54,,11.42,,,,,,,,
2004,119,147,28,133,5/12/2004,2,<210,1285.32,,1438.47,,,,,,,,
2004,119,147,28,133,5/12/2004,2,>210,380.51,,373.28,,,,,,,,
2004,119,147,28,133,5/12/2004,2,CYL,82.51,,5.76,,,,,,,,
2004,147,175,28,161,6/9/2004,2,<210,94.14,,123.77,,,,,,,,
2004,147,175,28,161,6/9/2004,2,>210,690.22,,1468.79,,,,,,,,
2004,147,175,28,161,6/9/2004,2,CYL,834.35,,58.27,,,,,,,,
2004,175,202,27,188.5,7/6/2004,2,<210,802.52,,824.74,,,,,,,,
2004,175,202,27,188.5,7/6/2004,2,>210,74.3,,156.24,,,,,,,,
2004,175,202,27,188.5,7/6/2004,2,CYL,78.54,,5.29,,,,,,,,
2004,202,232,30,217,8/4/2004,1,<210,636.8,,859.56,,,,,,,,
2004,202,232,30,217,8/4/2004,1,>210,199.29,,554.32,,,,,,,,
2004,202,232,30,217,8/4/2004,1,CYL,103.91,,7.78,,,,,,,,
2004,232,265,33,248.5,9/4/2004,1,<210,547.72,,937.72,,,,,,,,
2004,232,265,33,248.5,9/4/2004,1,>210,48.31,,342.44,,,,,,,,
2004,232,265,33,248.5,9/4/2004,1,CYL,74.73,,6.15,,,,,,,,
2004,232,265,33,248.5,9/4/2004,2,<210,607.72,,973.62,,,,,,,,
2004,232,265,33,248.5,9/4/2004,2,>210,54.09,,409.99,,,,,,,,
2004,232,265,33,248.5,9/4/2004,2,CYL,94.52,,7.78,,,,,,,,
2004,265,288,23,276.5,10/2/2004,1,<210,881.14,,1035.67,,,,,,,,
2004,265,288,23,276.5,10/2/2004,1,>210,118.96,,303.64,,,,,,,,
2004,265,288,23,276.5,10/2/2004,1,CYL,66.36,,3.81,,,,,,,,
2004,265,288,23,276.5,10/2/2004,2,<210,739.66,,828.84,,,,,,,,
2004,265,288,23,276.5,10/2/2004,2,>210,79.74,,178.81,,,,,,,,
2004,265,288,23,276.5,10/2/2004,2,CYL,133.44,,7.65,,,,,,,,
2004,288,316,28,302,10/28/2004,1,<210,1798.78,,2648.22,,,,,,,,
2004,288,316,28,302,10/28/2004,1,>210,254.33,,509.92,,,,,,,,
2004,288,316,28,302,10/28/2004,1,CYL,163.87,,11.44,,,,,,,,
2005,111,137,26,124,5/4/2005,1,<210,1829.1,,2726.3,,,,,,,,
2005,111,137,26,124,5/4/2005,1,>210,215.1,,1072.3,,,,,,,,
2005,111,137,26,124,5/4/2005,1,CYL,179.7,,11.6,,,,,,,,
2005,111,137,26,124,5/4/2005,2,<210,1907.7,,2722,,,,,,,,
2005,111,137,26,124,5/4/2005,2,>210,235.3,,1187,,,,,,,,
2005,111,137,26,124,5/4/2005,2,CYL,100.1,,6.5,,,,,,,,
2005,137,168,31,153,6/1/2005,2,>210,1299.3,,2768.3,,,,,,,,
2005,137,168,31,153,6/1/2005,2,CYL,274.1,,21.2,,,,,,,,
2005,137,168,31,153,6/1/2005,1,<210,144.9,,244.9,,,,,,,,
2005,137,168,31,153,6/1/2005,1,>210,184.7,,1304.5,,,,,,,,
2005,137,168,31,153,6/1/2005,1,CYL,121.9,,9.4,,,,,,,,
2005,137,168,31,153,6/1/2005,2,<210,152.9,,268.1,,,,,,,,
2005,168,194,26,181,6/30/2005,1,<210,450.4,,698.1,,,,,,,,
2005,168,194,26,181,6/30/2005,1,>210,275,,682.1,,,,,,,,
2005,168,194,26,181,6/30/2005,1,CYL,180.5,,11.7,,,,,,,,
2005,168,194,26,181,6/30/2005,2,<210,337.1,,495.4,,,,,,,,
2005,168,194,26,181,6/30/2005,2,>210,214.5,,614.3,,,,,,,,
2005,168,194,26,181,6/30/2005,2,CYL,118.3,,7.7,,,,,,,,
2005,194,223,29,209,7/27/2005,1,<210,433.9,,707.8,,,,,,,,
2005,194,223,29,209,7/27/2005,1,>210,58.8,,125.3,,,,,,,,
2005,194,223,29,209,7/27/2005,1,CYL,97.1,,7,,,,,,,,
2005,194,231,37,213,7/31/2005,2,<210,403.1,,977.6,,,,,,,,
2005,194,231,37,213,7/31/2005,2,>210,43.5,,160.6,,,,,,,,
2005,194,231,37,213,7/31/2005,2,CYL,131.2,,12.1,,,,,,,,
2005,223,250,27,237,8/24/2005,1,<210,737.8,,987,,,,,,,,
2005,223,250,27,237,8/24/2005,1,>210,25.1,,80.2,,,,,,,,
2005,223,250,27,237,8/24/2005,1,CYL,85.5,,5.8,,,,,,,,
2005,235,250,15,243,8/30/2005,2,<210,789.5,,542.9,,,,,,,,
2005,235,250,15,243,8/30/2005,2,>210,28.6,,73.7,,,,,,,,
2005,235,250,15,243,8/30/2005,2,CYL,164.3,,6.1,,,,,,,,
2005,250,284,34,267,9/24/2005,1,<210,590.4,,1006.1,,,,,,,,
2005,250,284,34,267,9/24/2005,1,>210,61.8,,282.5,,,,,,,,
2005,250,284,34,267,9/24/2005,1,CYL,82.9,,7,,,,,,,,
2005,250,284,34,267,9/24/2005,2,<210,579.4,,959,,,,,,,,
2005,250,284,34,267,9/24/2005,2,>210,87.1,,384.4,,,,,,,,
2005,250,284,34,267,9/24/2005,2,CYL,55.2,,4.7,,,,,,,,
