"DATETIME","DEPTH","DOC"
"1985-08-20",0,3.41
"1985-08-20",0,3.23
"1985-08-20",10,3.09
"1985-08-20",15,2.69
"1985-08-20",20,2.65
"1985-08-20",27,2.6
"1985-08-20",32,2.69
"1986-03-04",0.5,2.6
"1986-03-04",10,2.6
"1986-03-04",20,2.58
"1986-03-04",20,2.5
"1986-03-04",32,2.51
"1986-04-22",0,3.08
"1986-04-22",10,2.71
"1986-04-22",10,2.57
"1986-04-22",20,2.64
"1986-04-22",32,2.65
"1986-05-21",0,3.11
"1986-05-21",10,2.78
"1986-05-21",10,2.63
"1986-05-21",20,2.68
"1986-05-21",27,2.69
"1986-05-21",32,2.66
"1986-06-17",0,2.78
"1986-06-17",8,2.74
"1986-06-17",10,2.69
"1986-06-17",20,2.44
"1986-06-17",27,2.44
"1986-06-17",27,2.39
"1986-06-17",32,2.46
"1986-07-15",0,2.89
"1986-07-15",8,2.83
"1986-07-15",10,2.75
"1986-07-15",10,2.68
"1986-07-15",12,2.55
"1986-07-15",20,2.42
"1986-07-15",32,2.4
"1986-08-12",0,3.23
"1986-08-12",8,3.29
"1986-08-12",10,3.22
"1986-08-12",15,2.96
"1986-08-12",15,2.8
"1986-08-12",27,2.8
"1986-08-12",32,3.12
"1986-09-09",0,3.12
"1986-09-09",12,2.96
"1986-09-09",15,2.54
"1986-09-09",20,2.39
"1986-09-09",20,2.36
"1986-09-09",27,2.33
"1986-09-09",32,2.46
"1986-10-06",0,3.09
"1986-10-06",12,2.97
"1986-10-06",12,2.91
"1986-10-06",16,2.58
"1986-10-06",20,2.5
"1986-10-06",27,3.04
"1986-10-06",32,2.58
"1986-11-04",0,2.73
"1986-11-04",10,2.68
"1986-11-04",20,2.72
"1986-11-04",20,2.78
"1986-11-04",32,2.78
"1987-01-13",0,2.77
"1987-01-13",10,2.66
"1987-01-13",20,2.65
"1987-01-13",20,2.71
"1987-01-13",32,2.59
"1987-02-26",0,2.69
"1987-02-26",10,2.63
"1987-02-26",20,2.64
"1987-02-26",20,2.69
"1987-02-26",27,2.55
"1987-02-26",30,2.48
"1987-02-26",32,2.69
"1987-02-26",0,2.89
"1987-02-26",0,2.98
"1987-02-26",3,2.72
"1987-02-26",10,2.55
"1987-02-26",18,3.6
"1987-03-26",10,2.82
"1987-03-26",20,2.8
"1987-03-26",27,2.7
"1987-03-26",27,2.87
"1987-03-26",32,2.76
"1987-04-22",10,2.53
"1987-04-22",10,2.54
"1987-04-22",20,2.51
"1987-04-22",32,2.48
"1987-05-19",0,2.88
"1987-05-19",10,3.49
"1987-05-19",12,2.75
"1987-05-19",12,2.73
"1987-05-19",20,2.66
"1987-05-19",27,2.58
"1987-05-19",32,2.67
"1987-06-12",0,2.87
"1987-06-12",5,2.92
"1987-06-12",10,2.68
"1987-06-12",15,2.66
"1987-06-12",27,2.44
"1987-06-12",32,2.52
"1987-06-12",32,2.62
"1987-07-15",0,3.02
"1987-07-15",5,3.02
"1987-07-15",10,3.06
"1987-07-15",15,2.71
"1987-07-15",15,2.59
"1987-07-15",27,2.62
"1987-07-15",32,2.4
"1987-08-10",0,3.26
"1987-08-10",8,3.18
"1987-08-10",8,3.16
"1987-08-10",10,3.09
"1987-08-10",12,2.91
"1987-08-10",20,2.69
"1987-08-10",32,2.74
"1987-08-10",0,3.39
"1987-08-10",10,3.07
"1987-08-10",20,3.44
"1987-09-09",0,3.11
"1987-09-09",10,3.15
"1987-09-09",12,2.9
"1987-09-09",15,2.71
"1987-09-09",27,2.57
"1987-09-09",27,2.53
"1987-09-09",31,2.6
"1987-10-08",0,3.04
"1987-10-08",0,2.92
"1987-10-08",15,2.93
"1987-10-08",17,2.56
"1987-10-08",20,2.52
"1987-10-08",27,2.61
"1987-10-08",32,2.58
"1987-11-03",0,2.65
"1987-11-03",10,2.67
"1987-11-03",20,2.65
"1987-11-03",20,2.69
"1987-11-03",31,2.76
"1988-01-18",0,2.86
"1988-01-18",10,2.68
"1988-01-18",20,2.7
"1988-01-18",20,2.69
"1988-01-18",29,2.8
"1988-01-18",31,2.79
"1988-03-03",0,3.48
"1988-03-03",10,2.96
"1988-03-03",20,2.93
"1988-03-03",27,2.82
"1988-03-03",27,2.87
"1988-03-03",30,3.05
"1988-03-03",32,2.83
"1988-03-03",0,3.36
"1988-03-03",0,3.46
"1988-03-03",10,2.92
"1988-03-03",16,2.87
"1988-04-07",0,1.66
"1988-04-07",10,2.83
"1988-04-07",20,2.82
"1988-04-07",20,2.72
"1988-04-07",27,2.69
"1988-04-07",30,2.59
"1988-04-07",32,2.56
"1988-04-28",0,2.73
"1988-04-28",10,2.66
"1988-04-28",20,2.62
"1988-04-28",20,2.71
"1988-04-28",32,2.6
"1988-05-23",0,2.96
"1988-05-23",3,2.93
"1988-05-23",5,2.94
"1988-05-23",15,2.93
"1988-05-23",15,2.75
"1988-05-23",27,2.79
"1988-05-23",31,2.76
"1988-06-21",0,3.11
"1988-06-21",5,3.18
"1988-06-21",8,3.04
"1988-06-21",8,3.07
"1988-06-21",10,2.96
"1988-06-21",20,2.76
"1988-06-21",31,2.94
"1988-07-19",0,3.2
"1988-07-19",5,3.46
"1988-07-19",10,3.19
"1988-07-19",15,2.72
"1988-07-19",20,3.31
"1988-07-19",31,2.77
"1988-07-19",31,2.71
"1988-08-15",0,3.53
"1988-08-15",8,3.64
"1988-08-15",10,3.32
"1988-08-15",10,3.52
"1988-08-15",15,3.23
"1988-08-15",27,3.08
"1988-08-15",31,3.1
"1988-09-14",0,3.24
"1988-09-14",10,3.21
"1988-09-14",12,3
"1988-09-14",15,2.69
"1988-09-14",27,2.56
"1988-09-14",27,2.62
"1988-09-14",31,2.61
"1988-10-12",0,3.14
"1988-10-12",8,3.06
"1988-10-12",15,3.05
"1988-10-12",15,3.07
"1988-10-12",20,2.61
"1988-10-12",27,2.67
"1988-10-12",31,2.69
"1988-11-07",0,2.91
"1988-11-07",10,2.97
"1988-11-07",10,2.86
"1988-11-07",20,2.86
"1988-11-07",31,2.86
"1989-01-16",0,3.18
"1989-01-16",10,2.71
"1989-01-16",20,2.65
"1989-01-16",31,2.87
"1989-01-16",31,2.78
"1989-02-21",0,2.9
"1989-02-21",10,3.09
"1989-02-21",20,4.66
"1989-02-21",20,2.97
"1989-02-21",32,3.6
"1989-03-28",0,2.68
"1989-03-28",10,4.02
"1989-03-28",20,2.89
