"","Date","Source","Sink","Pipe","Net"
"1",2001-04-25,-626548926.782948,634215600,469951252.217052,1260764526.78295
"2",2001-04-26,-656477839.619734,621851845.85825,472159779.380266,1278329685.47798
"3",2001-04-27,-624686075.989568,609745149.823547,472808983.010432,1234431225.81312
"4",2001-04-28,-624079333.820407,597890129.356186,475043165.179593,1221969463.17659
"5",2001-04-29,-609604538.22402,586281514.621463,474602200.775981,1195886052.84548
"6",2001-04-30,-607965647.679353,574909577.699783,479473011.320648,1182875225.37914
"7",2001-05-01,-602191129.096899,563779412.924802,480094969.903101,1165970542.0217
"8",2001-05-02,-598146220.316599,552880476.129116,482377318.683401,1151026696.44571
"9",2001-05-03,-745343267.68626,542207925.630067,484588991.31374,1287551193.31633
"10",2001-05-04,-586834219.429333,531757934.395453,482738759.570667,1118592153.82479
"11",2001-05-05,-580515049.909498,521519219.970772,485052649.090502,1102034269.88027
"12",2001-05-06,-585320591.142509,511493027.535144,489915267.857492,1096813618.67765
"13",2001-05-07,-581201254.283203,501681609.19942,492272044.716797,1082882863.48262
"14",2001-05-08,-578813461.872551,492073805.6113,492897277.127449,1070887267.48385
"15",2001-05-09,-566812846.410058,482665353.281583,492646372.589942,1049478199.69164
"16",2001-05-10,-563643413.261331,473446172.332664,494943165.738669,1037089585.594
"17",2001-05-11,-561281182.746985,464419075.435546,495560116.253014,1025700258.18253
"18",2001-05-12,-557131601.845585,455579137.310145,497964417.154415,1012710739.15573
"19",2001-05-13,-553924808.030116,446922440.095838,500298570.969884,1000847248.12595
"20",2001-05-14,-549740074.30885,438446052.26279,502738024.69115,988186126.57164
"21",2001-05-15,-517340527.162696,430145295.014254,506497251.837304,947485822.17695
"22",2001-05-16,-2140228639.28658,421983936.407265,372995939.713418,2562212575.69385
"23",2001-05-17,-2847528689.08317,415458415.668315,128271606.037492,3262987104.75149
"24",2001-05-18,-2719138427.99872,413723644.693844,140323074.932411,3132862072.69257
"25",2001-05-19,-2641966959.15634,412077878.745775,150863903.754453,3054044837.90212
"26",2001-05-20,-2526463243.395,410564837.569396,165157553.308376,2937028080.96439
"27",2001-05-21,-2425929841.97962,409018016.429043,178786256.063112,2834947858.40866
"28",2001-05-22,-2356298842.67335,407450650.944059,195107657.287533,2763749493.6174
"29",2001-05-23,-2262711183.47677,405900073.875973,208902955.584145,2668611257.35274
"30",2001-05-24,-2190244108.01007,404328683.5469,222554201.320763,2594572791.55697
"31",2001-05-25,-2072163998.32245,402875007.774849,235183743.906645,2475039006.0973
"32",2001-05-26,-1976079242.18484,401377584.721857,250772122.744164,2377456826.9067
