"date","daily_flow.Open","daily_hypo","daily_epi","daily_chla","daily_tp","daily_doc","daily_swdoc","daily_secchi"
2000-01-01,467,,,,,,,
2000-01-02,469,,,,,,,
2000-01-03,443,,,,,,,
2000-01-04,446,,,,,,,
2000-01-05,466,,,,,,,
2000-01-06,456,,,,,,,
2000-01-07,449,,,,,,,
2000-01-08,449,,,,,,,
2000-01-09,457,,,,,,,
2000-01-10,466,,,,,,,
2000-01-11,480,,,,,,,
2000-01-12,441,,,,,,,
2000-01-13,537,,,,,,,
2000-01-14,649,,,,,,,
2000-01-15,735,,,,,,,
2000-01-16,746,,,,,,,
2000-01-17,749,,,,,,9.36,
2000-01-18,739,,,,,,12.87,
2000-01-19,749,,,,,,,
2000-01-20,736,,,,,,,
2000-01-21,773,,,,,,,
2000-01-22,817,,,,,,,
2000-01-23,848,,,,,,,
2000-01-24,859,,,,,,,
2000-01-25,819,,,,,,,
2000-01-26,788,,,,,,,
2000-01-27,730,,,,,,,
2000-01-28,796,,,,,,,
2000-01-29,751,,,,,,,
2000-01-30,564,,,,,,,
2000-01-31,720,,,,,,,
2000-02-01,775,,,,,,,
2000-02-02,776,,,,,,,
2000-02-03,790,,,,,,,
2000-02-04,793,,,,,,,
2000-02-05,784,,,,,,,
2000-02-06,780,,,,,,,
2000-02-07,777,,,,,,,
2000-02-08,794,,,,,,,
2000-02-09,788,,,,,,,
2000-02-10,736,,,,,,,
2000-02-11,781,,,,,,,
2000-02-12,776,,,,,,,
2000-02-13,782,,,,,,,
2000-02-14,778,,,,,,7.74,
2000-02-15,773,,,,,,4.86,
2000-02-16,774,,,,,,,
2000-02-17,774,,,,,,10.8,
2000-02-18,776,,,,,,,
2000-02-19,783,,,,,,,
2000-02-20,770,,,,,,,
2000-02-21,777,,,,,,9.09,
2000-02-22,777,,,,,,,
2000-02-23,786,,,,,,,
2000-02-24,774,,,,,,,
2000-02-25,775,,,,,,,
2000-02-26,776,,,,,,,
2000-02-27,773,,,,,,,
2000-02-28,773,,,,,,,
2000-02-29,778,,,,,,,
2000-03-01,771,,,,,,,
2000-03-02,764,,,,,,,
2000-03-03,763,,,,,,,
2000-03-04,755,,,,,,,
2000-03-05,596,,,,,,,
2000-03-06,774,,,,,,,
2000-03-07,784,,,,,,,
2000-03-08,783,,,,,,,
2000-03-09,783,,,,,,,
2000-03-10,779,,,,,,,
2000-03-11,770,,,,,,,
2000-03-12,765,,,,,,,
2000-03-13,777,,,,,,8.19,
2000-03-14,785,,,,,,5.81142857142857,
2000-03-15,780,,,,,,7.2675,
2000-03-16,779,,,,,,,
2000-03-17,773,,,,,,,
2000-03-18,774,,,,,,,
2000-03-19,771,,,,,,,
2000-03-20,781,,,,,,,
2000-03-21,789,,,,,,,
2000-03-22,790,,,,,,,
2000-03-23,790,,,,,,,
2000-03-24,790,,,,,,,
2000-03-25,791,,,,,,,
2000-03-26,802,,,,,,,
2000-03-27,778,,,,,,,
2000-03-28,696,,,,,,,
2000-03-29,794,,,,,,,
2000-03-30,791,,,,,,,
2000-03-31,798,,,,,,,
2000-04-01,800,,,,,,,
2000-04-02,798,,,,,,,
2000-04-03,795,,,,,,,
2000-04-04,796,,,,,,,
2000-04-05,787,,,,,,,
2000-04-06,772,,,,,,,
2000-04-07,757,,,,,,,
2000-04-08,764,,,,,,,
2000-04-09,757,,,,,,,
2000-04-10,762,,,,,,9.405,
2000-04-11,721,,,,,,,
2000-04-12,769,,,,,,4.68,
2000-04-13,766,,,,,,,
2000-04-14,731,,,,,,,
2000-04-15,613,,,,,,,
2000-04-16,569,,,,,,,
2000-04-17,616,,,,,,7.92,
2000-04-18,574,,,,,,,
2000-04-18,,2,2.1,,6.5,3.7575,,4.3
2000-04-19,457,,,,,,,
2000-04-20,697,,,,,,,
2000-04-21,617,,,,,,,
2000-04-22,355,,,,,,,
2000-04-23,163,,,,,,,
2000-04-24,430,,,,,,,
2000-04-25,580,,,,,,,
2000-04-26,734,,,,,,,
2000-04-27,755,,,,,,,
2000-04-28,701,,,,,,,
2000-04-29,741,,,,,,,
2000-04-30,738,,,,,,,
2000-05-01,737,,,,,,,
2000-05-02,758,,,,,,,
2000-05-03,796,,,,,,,
2000-05-04,902,,,,,,,
2000-05-05,896,,,,,,,
2000-05-06,899,,,,,,,
2000-05-07,893,,,,,,,
2000-05-08,768,,,,,,,
2000-05-09,760,,,,,,,
2000-05-10,756,,,,,,,
2000-05-10,,3.9,5.1,,8.25,4.05,,4.6
2000-05-11,739,,,,,,,
2000-05-12,722,,,,,,,
2000-05-13,722,,,,,,,
2000-05-14,720,,,,,,,
2000-05-15,723,,,,,,9.12,
2000-05-16,716,,,,,,8.28,
2000-05-17,713,,,,,,7.41857142857143,
2000-05-18,672,,,,,,,
2000-05-19,644,,,,,,,
2000-05-20,729,,,,,,,
2000-05-21,247,,,,,,,
2000-05-22,751,,,,,,,
2000-05-23,670,,,,,,,
2000-05-24,688,,,,,,,
2000-05-25,569,,,,,,,
2000-05-26,617,,,,,,,
