datetime,wtr,DO_con
2000-04-18,2.1,13.47
2000-05-10,5.1,13.52
2000-06-14,10.9,11.25
2000-08-15,16.9,9.58
2000-10-11,12.6,10.35
2001-04-25,2.1,13.68
2001-05-15,3.6,13.07
2001-06-07,9.7,11.49
2001-08-13,15.8,10.56
2001-10-23,11.7,10.38
2002-04-17,2.6,13.77
2002-05-16,8,12.6
2002-07-03,15.2,10.1
2002-09-04,18.1,10.99
2002-10-16,10.3,10.77
2003-04-08,1.3,14.23
2003-05-22,7.2,12.91
2003-06-17,13.3,11.51
2003-08-13,21,9.46
2003-10-06,12.7,10.04
2004-04-06,1.4,14.45
2004-05-10,4.5,14.03
2004-06-28,14.5,10.94
2004-08-10,19.7,10.06
2004-10-12,12.2,10.18
2005-04-19,2.2,13.13
2005-05-08,4,13.39
2005-06-14,10.4,11.74
2005-08-16,17.6,9.56
2005-10-18,12.1,8.46
2006-04-25,1.1,14.25
2006-05-17,3.2,14.1
2006-06-12,12.8,11.94
2006-08-17,19.6,10.25
2006-10-17,13.1,10.33
2007-04-10,2.8,14.25
2007-05-02,5.9,14.1
2007-06-11,19.2,11.9
2007-08-09,18.4,10.24
2007-10-17,11.6,11
2008-04-07,2.8,11.11
2008-05-21,7.6,12.59
2008-06-17,14.4,10.23
2008-08-12,15.5,10.02
2008-10-20,11,10.51
2009-04-21,2.6,13.77
2009-05-18,7,12.58
2009-06-09,10.8,12.16
2009-08-11,17.2,9.67
2009-10-14,11.6,10.34
2010-04-21,1.3,14.02
2010-05-19,3.8,7.76
2010-06-16,10.7,12.19
2010-08-10,17,9.86
2010-10-12,11.5,10.42
2011-05-03,3,13.74
2011-06-28,16.5,11.15
2011-08-09,18.5,9.3
2011-10-19,11.4,10.34
2012-04-17,2.7,13.87
2012-05-22,8.5,12.75
2012-06-12,12.7,11.6
2012-08-14,17.4,10.32
