datetime,wtr,DO_con
1995-05-09,7.8,13.15
1995-05-23,14,9.2
1995-06-06,19.3,10.1
1995-06-21,27.6,14.2
1995-07-06,21.4,8.05
1995-07-18,24.9,8.1
1995-08-02,25.5,7.15
1995-08-14,27.1,7.55
1995-08-30,25,8.1
1995-09-11,20.8,7.7
1995-09-25,16.1,7.85
1995-10-11,15.2,8.05
1995-10-25,11.4,8.75
1995-11-10,7.4,11.5
1995-12-06,2.3,11.6
1996-04-09,4.2,15.45
1996-04-17,4.6,13.95
1996-05-01,7.3,11.5
1996-05-14,9.1,9.75
1996-05-28,11.6,10
1996-06-10,14.8,9.2
1996-06-26,21,8.25
1996-07-08,24.3,10.05
1996-07-22,22.6,10.55
1996-08-05,22.5,10.1
1996-08-19,23.3,8
1996-09-05,26.2,8.35
1996-09-16,19,7.75
1996-10-16,14.8,9
1996-11-08,8.9,10.35
1996-11-25,4.3,11.4
1997-01-14,0.2,13.9
1997-02-17,0.4,14.65
1997-04-09,4,14.5
1997-04-21,5.6,12.3
1997-05-02,7.9,11.4
1997-05-13,11.1,12.5
1997-05-28,12,9.75
1997-06-11,17.3,11.1
1997-06-25,22.8,9.7
1997-07-09,21.2,8.75
1997-07-24,23.8,10
1997-08-06,23.5,9.1
1997-08-18,21.9,8.8
1997-09-02,22.1,10.65
1997-10-01,17.7,9.95
1997-10-30,11.2,8.9
1997-11-30,4.8,12.25
1998-02-06,0.6,13.95
1998-03-13,0.7,8.65
1998-03-26,2.2,16.7
1998-04-10,5.6,8.9
1998-05-11,14.8,9.95
1998-05-28,18.3,9.8
1998-06-08,17.2,8.7
1998-06-22,22.5,12.6
1998-07-06,23.1,10
1998-07-23,24.9,8.3
1998-08-02,24.3,9.75
1998-08-18,23.6,8.4
1998-09-02,22.9,8.1
1998-09-28,20,8.2
1998-10-27,13.7,9.6
1998-11-23,7.2,11.05
1999-01-25,0.4,14.7
1999-02-22,2.8,11.95
1999-03-29,4,13.7
1999-04-12,6.9,12
1999-04-26,9.8,11.5
1999-05-10,12.1,10.45
1999-05-26,14.4,10.2
1999-06-07,19.3,9
1999-06-21,21.4,11.45
1999-07-06,24.7,9.9
1999-07-19,24.4,9.4
1999-08-02,26.3,7.55
1999-08-16,22.6,7.8
1999-08-30,22.2,8.3
1999-09-27,17.9,8.6
1999-10-07,14.6,7.65
1999-10-26,11.5,11.45
1999-11-22,9.4,10.6
2000-01-24,0.8,15.05
2000-02-28,1.2,13.75
2000-03-13,3,13.05
2000-03-29,4.4,13.55
2000-04-10,5.7,12.9
2000-04-25,7.5,11.85
2000-05-09,16.8,10.15
2000-05-22,13.7,9.7
2000-06-06,15.7,9.35
2000-06-19,19.5,10
