datetime,wtr,DO_conc
2012-08-09,15.8,7.2
2012-08-10,16,6.8
2012-08-11,15.8,7.2
2012-08-12,17.2,6.9
2012-08-13,18.2,6.8
2012-08-14,18,6.7
2012-08-15,17.9,6.6
2012-08-16,17.8,6.8
2012-08-17,17.6,6
2012-08-18,17.5,7
2012-08-19,17.4,6.8
2012-08-20,17.2,6.8
2012-08-21,17.1,6.3
2012-08-22,17,6.6
2012-08-23,16.9,6.8
2012-08-24,16.7,6.3
2012-08-25,16.4,6.5
2012-08-26,16.1,6.8
2012-08-27,15.2,7.2
2012-08-28,14.7,7
2012-08-29,13.9,6.4
2012-08-30,13.9,6.6
2012-08-31,13.6,6.6
2012-09-01,13.6,6.6
2012-09-02,14.2,6.5
2012-09-03,13.8,6.7
2012-09-04,14.1,7.1
2012-09-05,13.4,7.7
2012-09-06,12.4,7.8
2012-09-07,12,8
2012-09-08,11.7,8
2012-09-09,11.3,8.1
2012-09-10,11.5,8.2
2012-09-11,11.7,8.3
2012-09-12,11.1,8.2
2012-09-13,10.8,8.1
2012-09-14,10.6,8.2
2012-09-15,10.5,8.4
2012-09-16,10.3,8.3
2012-09-17,10.1,8.5
2012-09-18,9.8,8.4
2012-09-19,9.7,8.5
2012-09-20,9.4,8.5
2012-09-21,8.9,8.3
2012-09-22,8.5,8.5
2012-09-23,8.1,8.4
2012-09-24,8.1,8.3
2012-09-25,7.9,8.4
2012-09-26,7.8,8.6
2012-09-27,7.8,8.6
2012-09-28,7.8,8.9
2012-09-29,7.8,8.9
2012-09-30,7.9,8.8
2012-10-01,8,9
2012-10-02,8,9.1
2012-10-03,7.8,9.1
2012-10-04,7.7,9.2
2012-10-05,7.5,9
2012-10-06,7.2,9.2
2012-10-07,6.8,9.3
2012-10-08,6.3,9.4
2012-10-09,6,9.3
2012-10-10,5.9,9.4
2012-10-11,5.6,9.4
2012-10-12,5.2,9.4
2012-10-13,5,9.5
2012-10-14,4.7,9.5
2012-10-15,4.2,9.6
2012-10-16,4,9.6
2012-10-17,4,9.5
2012-10-18,4,9.8
2012-10-19,4.1,9.7
2012-10-20,4,9.8
2012-10-21,4,9.8
2012-10-22,3.9,9.5
2012-10-23,3.6,9.7
2012-10-24,3.4,9
2012-10-25,3.4,9.8
2012-10-26,3.2,10
2012-10-27,3,10
2012-10-28,3,9.9
2012-10-29,3,9.7
2012-10-30,3,7.7
2012-10-31,3.1,7.3
2012-11-01,3.1,7.8
2012-11-02,3.1,7.5
2012-11-03,3.1,8.1
2012-11-04,3.1,6.4
2012-11-05,3,8.2
2012-11-06,3.1,7.1
2012-11-07,3.1,7.3
2012-11-08,3.1,6.4
2012-11-09,3.2,6.3
2012-11-10,3.2,7.2
2012-11-11,2.5,9.5
2012-11-12,2,10.3
2012-11-13,2.2,9
2012-11-14,2.5,8
2012-11-15,2.7,6.3
2012-11-16,2.8,6.3
2012-11-17,2.8,5.6
2012-11-18,2.9,6
2012-11-19,2.9,6
2012-11-20,2.9,7
2012-11-21,2.9,6.4
2012-11-22,2.4,6.8
2012-11-23,2.3,8.8
2012-11-24,2.2,9.6
2012-11-25,2.4,8.3
2012-11-26,2.5,5.3
2012-11-27,2.7,5.1
2012-11-28,2.7,4.6
2012-11-29,2.8,5.2
2012-11-30,2.8,5.5
2012-12-01,2.9,5.4
2012-12-02,2.8,5.9
2012-12-03,2.9,5.9
