lakeid,year4,daynum,sampledate,depth,rep,sta,event,wtemp,o2,o2sat,deck,light,frlight,flagdepth,flagwtemp,flago2,flago2sat,flagdeck,flaglight,flagfrlight
"ME",1995,129,1995-05-09,0.00,1,1,,7.80,13.2,117.7,,,,,,,,,,
"ME",1995,129,1995-05-09,1.00,1,1,,7.80,13.1,116.8,,,,,,,,,,
"ME",1995,129,1995-05-09,2.00,1,1,,7.80,13.2,117.7,,,,,,,,,,
"ME",1995,129,1995-05-09,3.00,1,1,,7.80,13.2,117.7,,,,,,,,,,
"ME",1995,129,1995-05-09,4.00,1,1,,7.80,13.2,117.7,,,,,,,,,,
"ME",1995,129,1995-05-09,5.00,1,1,,7.70,13.1,116.5,,,,,,,,,,
"ME",1995,129,1995-05-09,6.00,1,1,,7.70,13.1,116.5,,,,,,,,,,
"ME",1995,129,1995-05-09,7.00,1,1,,7.70,13.1,116.5,,,,,,,,,,
"ME",1995,129,1995-05-09,8.00,1,1,,7.70,13.1,116.5,,,,,,,,,,
"ME",1995,129,1995-05-09,9.00,1,1,,7.70,13.1,116.5,,,,,,,,,,
"ME",1995,129,1995-05-09,10.00,1,1,,7.70,13.1,116.5,,,,,,,,,,
"ME",1995,129,1995-05-09,11.00,1,1,,7.70,13.1,116.5,,,,,,,,,,
"ME",1995,129,1995-05-09,12.00,1,1,,7.70,13.1,116.5,,,,,,,,,,
"ME",1995,129,1995-05-09,13.00,1,1,,7.70,13.1,116.5,,,,,,,,,,
"ME",1995,129,1995-05-09,14.00,1,1,,7.60,13.0,115.4,,,,,,,,,,
"ME",1995,129,1995-05-09,15.00,1,1,,7.60,13.0,115.4,,,,,,,,,,
"ME",1995,129,1995-05-09,16.00,1,1,,7.60,13.1,116.3,,,,,,,,,,
"ME",1995,129,1995-05-09,17.00,1,1,,7.60,13.0,115.4,,,,,,,,,,
"ME",1995,129,1995-05-09,18.00,1,1,,7.60,13.0,115.4,,,,,,,,,,
"ME",1995,129,1995-05-09,19.00,1,1,,7.60,,,,,,,,,,,,
"ME",1995,129,1995-05-09,20.00,1,1,,7.60,13.0,115.4,,,,,,,,,,
"ME",1995,129,1995-05-09,21.00,1,1,,7.60,12.9,114.5,,,,,,,,,,
"ME",1995,129,1995-05-09,22.00,1,1,,7.60,13.1,116.3,,,,,,,,,,
"ME",1995,129,1995-05-09,23.00,1,1,,7.60,13.0,115.4,,,,,,,,,,
"ME",1995,143,1995-05-23,0.00,1,1,,14.00,9.2,94.7,,,,,,,,,,
"ME",1995,143,1995-05-23,1.00,1,1,,14.00,9.2,94.7,,,,,,,,,,
"ME",1995,143,1995-05-23,2.00,1,1,,14.00,9.3,95.7,,,,,,,,,,
"ME",1995,143,1995-05-23,3.00,1,1,,13.90,9.3,95.5,,,,,,,,,,
"ME",1995,143,1995-05-23,4.00,1,1,,13.90,9.5,97.6,,,,,,,,,,
"ME",1995,143,1995-05-23,5.00,1,1,,13.40,9.6,97.5,,,,,,,,,,
"ME",1995,143,1995-05-23,6.00,1,1,,13.30,9.6,97.3,,,,,,,,,,
"ME",1995,143,1995-05-23,7.00,1,1,,13.20,9.5,96.1,,,,,,,,,,
"ME",1995,143,1995-05-23,8.00,1,1,,13.10,9.4,94.9,,,,,,,,,,
"ME",1995,143,1995-05-23,9.00,1,1,,12.90,9.2,92.4,,,,,,,,,,
"ME",1995,143,1995-05-23,10.00,1,1,,12.90,9.1,91.4,,,,,,,,,,
"ME",1995,143,1995-05-23,11.00,1,1,,12.80,9.1,91.2,,,,,,,,,,
"ME",1995,143,1995-05-23,12.00,1,1,,12.60,9.1,90.8,,,,,,,,,,
"ME",1995,143,1995-05-23,13.00,1,1,,11.90,9.0,88.4,,,,,,,,,,
"ME",1995,143,1995-05-23,14.00,1,1,,11.10,8.9,85.8,,,,,,,,,,
"ME",1995,143,1995-05-23,15.00,1,1,,10.80,9.3,89.1,,,,,,,,,,
"ME",1995,143,1995-05-23,16.00,1,1,,10.50,9.3,88.5,,,,,,,,,,
"ME",1995,143,1995-05-23,17.00,1,1,,10.40,9.1,86.4,,,,,,,,,,
"ME",1995,143,1995-05-23,18.00,1,1,,10.20,9.0,85.0,,,,,,,,,,
"ME",1995,143,1995-05-23,19.00,1,1,,10.20,7.3,69.0,,,,,,,,,,
"ME",1995,143,1995-05-23,20.00,1,1,,9.80,8.3,77.7,,,,,,,,,,
"ME",1995,143,1995-05-23,21.00,1,1,,9.60,,,,,,,,,,,,
"ME",1995,143,1995-05-23,21.50,1,1,,9.60,8.4,78.2,,,,,,,,,,
"ME",1995,143,1995-05-23,22.00,1,1,,9.60,8.0,74.5,,,,,,,,,,
"ME",1995,143,1995-05-23,22.50,1,1,,9.50,7.4,68.8,,,,,,,,,,
"ME",1995,143,1995-05-23,23.00,1,1,,9.50,,,,,,,,,,,,
"ME",1995,157,1995-06-06,0.00,1,1,,19.30,10.1,116.2,,,,,,,,,,
"ME",1995,157,1995-06-06,1.00,1,1,,18.70,10.1,114.8,,,,,,,,,,
"ME",1995,157,1995-06-06,2.00,1,1,,18.00,10.3,115.4,,,,,,,,,,
"ME",1995,157,1995-06-06,3.00,1,1,,17.90,10.3,115.2,,,,,,,,,,
"ME",1995,157,1995-06-06,4.00,1,1,,17.50,10.2,113.1,,,,,,,,,,
"ME",1995,157,1995-06-06,5.00,1,1,,15.60,9.4,100.2,,,,,,,,,,
"ME",1995,157,1995-06-06,6.00,1,1,,15.10,9.2,97.0,,,,,,,,,,
"ME",1995,157,1995-06-06,7.00,1,1,,14.90,9.5,99.7,,,,,,,,,,
"ME",1995,157,1995-06-06,8.00,1,1,,14.60,9.1,94.9,,,,,,,,,,
"ME",1995,157,1995-06-06,9.00,1,1,,14.10,8.9,91.8,,,,,,,,,,
"ME",1995,157,1995-06-06,10.00,1,1,,13.80,9.0,92.2,,,,,,,,,,
"ME",1995,157,1995-06-06,11.00,1,1,,13.50,8.5,86.5,,,,,,,,,,
"ME",1995,157,1995-06-06,12.00,1,1,,13.00,7.7,77.5,,,,,,,,,,
"ME",1995,157,1995-06-06,13.00,1,1,,12.00,6.8,67.0,,,,,,,,,,
"ME",1995,157,1995-06-06,14.00,1,1,,11.50,5.9,57.4,,,,,,,,,,
"ME",1995,157,1995-06-06,15.00,1,1,,11.20,5.8,56.1,,,,,,,,,,
"ME",1995,157,1995-06-06,16.00,1,1,,11.00,4.9,47.2,,,,,,,,,,
"ME",1995,157,1995-06-06,17.00,1,1,,10.60,4.7,44.8,,,,,,,,,,
"ME",1995,157,1995-06-06,18.00,1,1,,10.30,3.5,33.1,,,,,,,,,,
"ME",1995,157,1995-06-06,19.00,1,1,,10.30,3.2,30.3,,,,,,,,,,
"ME",1995,157,1995-06-06,20.00,1,1,,10.10,2.0,18.8,,,,,,,,,,
"ME",1995,157,1995-06-06,21.00,1,1,,10.00,0.9,8.5,,,,,,,,,,
"ME",1995,157,1995-06-06,22.00,1,1,,9.90,0.6,5.6,,,,,,,,,,
"ME",1995,157,1995-06-06,23.00,1,1,,9.90,0.5,4.7,,,,,,,,,,
"ME",1995,157,1995-06-06,24.00,1,1,,9.80,0.3,2.8,,,,,,,,,,
"ME",1995,172,1995-06-21,0.00,1,1,,27.60,12.8,172.4,,,,,,,,,,
"ME",1995,172,1995-06-21,1.00,1,1,,27.40,15.6,209.4,,,,,,,,,,
"ME",1995,172,1995-06-21,2.00,1,1,,25.60,18.2,236.4,,,,,,,,,,
"ME",1995,172,1995-06-21,3.00,1,1,,24.20,15.1,191.1,,,,,,,,,,
"ME",1995,172,1995-06-21,4.00,1,1,,22.30,13.0,158.7,,,,,,,,,,
"ME",1995,172,1995-06-21,5.00,1,1,,20.10,9.7,113.4,,,,,,,,,,
"ME",1995,172,1995-06-21,6.00,1,1,,18.40,8.1,91.5,,,,,,,,,,
"ME",1995,172,1995-06-21,7.00,1,1,,17.50,7.0,77.6,,,,,,,,,,
"ME",1995,172,1995-06-21,8.00,1,1,,16.50,6.3,68.4,,,,,,,,,,
"ME",1995,172,1995-06-21,9.00,1,1,,15.80,6.2,66.4,,,,,,,,,,
"ME",1995,172,1995-06-21,10.00,1,1,,14.70,5.5,57.5,,,,,,,,,,
"ME",1995,172,1995-06-21,11.00,1,1,,14.30,5.1,52.8,,,,,,,,,,
"ME",1995,172,1995-06-21,12.00,1,1,,13.50,4.7,47.9,,,,,,,,,,
"ME",1995,172,1995-06-21,13.00,1,1,,13.00,3.8,38.3,,,,,,,,,,
"ME",1995,172,1995-06-21,14.00,1,1,,12.10,3.3,32.6,,,,,,,,,,
"ME",1995,172,1995-06-21,15.00,1,1,,11.70,1.6,15.6,,,,,,,,,,
"ME",1995,187,1995-07-06,0.00,1,1,,21.40,8.1,97.2,,,,,,,,,,
